,DATE,LOC,ORG,PER
bam,0.9999947547912598,0.9999952912330627,0.9999903440475464,0.9999971985816956
bbj,0.999992847442627,0.9999933242797852,0.9999982118606567,0.9999977350234985
ewe,0.999985933303833,0.9999940395355225,0.9999879598617554,0.9999987483024597
fon,0.9999942183494568,0.9999957084655762,0.999994695186615,0.999997079372406
hau,0.9999918937683105,0.9999960064888,0.9999908208847046,0.9999984502792358
ibo,0.9999979138374329,0.9999972581863403,0.9999916553497314,0.999994695186615
kin,0.9999970197677612,0.999998927116394,0.999996542930603,0.9999988675117493
lug,0.999995231628418,0.9999969005584717,0.9999980926513672,0.999997615814209
luo,0.9999958276748657,0.9999969005584717,0.9999870657920837,0.9999986886978149
mos,0.9999926686286926,0.9999976754188538,0.9999936819076538,0.999998927116394
nya,0.9999908208847046,0.999997615814209,0.9999935626983643,0.999999463558197
pcm,0.9999825358390808,0.9999949932098389,0.9999872446060181,0.9999983906745911
sna,0.9999956488609314,0.9999963641166687,0.9999982118606567,0.9999982714653015
swa,0.9999834299087524,0.9999978542327881,0.9999855160713196,0.9999969601631165
tsn,0.9999935626983643,0.999997079372406,0.9999920129776001,0.9999966621398926
twi,0.9999927282333374,0.9999924898147583,0.9999909996986389,0.9999989867210388
wol,0.9999951720237732,0.9999942779541016,0.9999860525131226,0.9999989867210388
xho,0.9999951124191284,0.9999971389770508,0.9999961256980896,0.9999972581863403
yor,0.9999949336051941,0.9999933242797852,0.999997615814209,0.9999973773956299
zul,0.9999953508377075,0.9999971985816956,0.9999989867210388,0.9999975562095642
