,ORG,LOC,PER,DATE
bam,0.9999902248382568,0.9999911785125732,0.9999943971633911,0.9999877214431763
bbj,0.9999925494194031,0.9999918341636658,0.9999930262565613,0.999985933303833
ewe,0.9999904632568359,0.9999917149543762,0.9999937415122986,0.9999849200248718
fon,0.9999887347221375,0.9999901056289673,0.9999901056289673,0.9999837279319763
hau,0.9999927282333374,0.9999921917915344,0.9999951124191284,0.9999886155128479
ibo,0.9999902248382568,0.9999945759773254,0.9999958276748657,0.9999933838844299
kin,0.9999962449073792,0.9999980926513672,0.9999973773956299,0.9999969005584717
lug,0.9999979734420776,0.9999922513961792,0.9999993443489075,0.9999955296516418
luo,0.9999893307685852,0.9999940395355225,0.9999954104423523,0.9999948740005493
mos,0.999994695186615,0.999994695186615,0.9999951124191284,0.9999868869781494
nya,0.9999963641166687,0.9999966025352478,0.9999974370002747,0.999994158744812
pcm,0.9999828338623047,0.9999827742576599,0.9999867081642151,0.999968409538269
sna,0.9999973177909851,0.9999967813491821,0.9999982714653015,0.9999949336051941
swa,0.9999841451644897,0.9999868869781494,0.9999909400939941,0.9999803900718689
tsn,0.9999908208847046,0.9999924302101135,0.9999938607215881,0.9999938607215881
twi,0.9999908208847046,0.9999910593032837,0.9999950528144836,0.9999902248382568
wol,0.9999921321868896,0.999992311000824,0.9999971389770508,0.9999949932098389
xho,0.9999958276748657,0.9999964237213135,0.9999962449073792,0.9999960064888
yor,0.9999918937683105,0.9999912977218628,0.9999921917915344,0.9999871253967285
zul,0.9999959468841553,0.9999940395355225,0.9999974370002747,0.9999946355819702
