,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.6747962236404419,0.8064785599708557,0.6734336018562317,0.8070552945137024,0.6212000846862793,0.8062575459480286,0.7462323904037476,0.7124151587486267,0.7449570894241333,0.8376005291938782,0.5699113607406616,0.8365781903266907,0.7068888545036316
bbj,0.7083196640014648,0.7637805342674255,0.707019567489624,0.6187860369682312,0.8731712698936462,0.6172903180122375,0.8056875467300415,0.6233977675437927,0.8044564127922058,0.7462002038955688,0.7124601602554321,0.7446243762969971,0.8985733389854431
ewe,0.6904234290122986,0.786862850189209,0.6890259981155396,0.8191513419151306,0.601412832736969,0.8183892369270325,0.8604363203048706,0.5283250212669373,0.8594668507575989,0.6274717450141907,0.8631665706634521,0.6260705590248108,0.6788694262504578
fon,0.6886791586875916,0.789076566696167,0.6872599124908447,0.7376303672790527,0.7243889570236206,0.736506462097168,0.8499408960342407,0.54783034324646,0.8489521741867065,0.7726004719734192,0.6743879318237305,0.771147608757019,0.744844913482666
hau,0.693234384059906,0.7832823395729065,0.6918678283691406,0.7209959626197815,0.7469994425773621,0.7199756503105164,0.8794143199920654,0.4910920262336731,0.8786028027534485,0.9042286276817322,0.437656044960022,0.9036282300949097,0.9284772276878357
ibo,0.7150780558586121,0.7548800706863403,0.7138303518295288,0.7907000184059143,0.6469930410385132,0.7897989153862,0.883706271648407,0.4822731614112854,0.8828866481781006,0.9231973886489868,0.39192500710487366,0.9226727485656738,0.653621256351471
kin,0.6614754796028137,0.8228300213813782,0.6600073575973511,0.8812278509140015,0.4873851239681244,0.8807485103607178,0.904852569103241,0.43622809648513794,0.9041529893875122,0.9142138957977295,0.41421300172805786,0.9136421084403992,0.8734784126281738
lug,0.7167367339134216,0.7526796460151672,0.7155078649520874,0.9129401445388794,0.4172765612602234,0.9126571416854858,0.8513529300689697,0.5452467799186707,0.8505445718765259,0.8703550696372986,0.5092050433158875,0.8695226311683655,0.83188796043396
luo,0.6979089975357056,0.7772915363311768,0.6965946555137634,0.8861135840415955,0.47725552320480347,0.885680615901947,0.8834598660469055,0.48278382420539856,0.8827484250068665,0.8831471800804138,0.4834314286708832,0.8824447393417358,0.8096969723701477
mos,0.6860650181770325,0.792382538318634,0.6846709251403809,0.7668870687484741,0.682807445526123,0.7658882737159729,0.8432378768920898,0.559932291507721,0.8421976566314697,0.7125135660171509,0.7582696676254272,0.7109244465827942,0.7166609168052673
nya,0.7226762175559998,0.7447468042373657,0.7214894890785217,0.8659161925315857,0.5178490281105042,0.8653655648231506,0.8967661261558533,0.45438727736473083,0.8960753679275513,0.8882752656936646,0.47270455956459045,0.8876241445541382,0.7810608744621277
pcm,0.7030661702156067,0.7706282138824463,0.7017735242843628,0.8706551790237427,0.5086154341697693,0.8701294660568237,0.8151109218597412,0.6080938577651978,0.8141431212425232,0.6196238994598389,0.8722110390663147,0.6177681088447571,0.8053763508796692
sna,0.7114461064338684,0.7596760988235474,0.7101624011993408,0.7276261448860168,0.7380701303482056,0.7264184355735779,0.8677221536636353,0.514349639415741,0.8669397234916687,0.931213915348053,0.3709074854850769,0.9307680726051331,0.7306469082832336
swa,0.6612244248390198,0.8231350183486938,0.6597926020622253,0.914776086807251,0.4128533601760864,0.9144558906555176,0.8121343851089478,0.6129692196846008,0.8110700845718384,0.8505326509475708,0.5467492938041687,0.8496003746986389,0.8198469877243042
tsn,0.6944978833198547,0.7816675305366516,0.693117618560791,0.8169788122177124,0.6050142645835876,0.8162094354629517,0.8630409240722656,0.5233719348907471,0.8621293902397156,0.9101828336715698,0.42383310198783875,0.9095897078514099,0.8123570084571838
twi,0.7247356176376343,0.7419763207435608,0.7235283255577087,0.8753883838653564,0.4992227256298065,0.874908983707428,0.9284528493881226,0.3782782256603241,0.9279547333717346,0.8408747315406799,0.5641370415687561,0.8398450613021851,0.8667473793029785
wol,0.6991007328033447,0.7757567763328552,0.6977401375770569,0.7558543086051941,0.6987785696983337,0.7548061609268188,0.8537321090698242,0.540865957736969,0.8528449535369873,0.8815038204193115,0.48681849241256714,0.8806887865066528,0.7085298299789429
xho,0.7080398797988892,0.7641467452049255,0.7067301273345947,0.6906192898750305,0.786613941192627,0.689257025718689,0.8446430563926697,0.5574171543121338,0.8437538743019104,0.9274837374687195,0.3808314800262451,0.9269915223121643,0.7097326517105103
yor,0.5882335305213928,0.9074872732162476,0.5864214301109314,0.6130442023277283,0.8797224760055542,0.6113436222076416,0.8134558796882629,0.6108094453811646,0.8121582865715027,0.7524228692054749,0.7036719918251038,0.7507715821266174,0.7311702370643616
zul,0.6911471486091614,0.7859424948692322,0.6897640228271484,0.8116917610168457,0.6136909127235413,0.8108938336372375,0.8676712512969971,0.5144487619400024,0.8667927384376526,0.9006072282791138,0.4458538293838501,0.8999292254447937,0.8497806191444397
