,PER,LOC,ORG,DATE,SWD_mean
bam,0.016873895642675052,0.011949642044328357,0.014455123809966608,0.00996015048076515,0.013309702994433792
bbj,0.0162427303757795,0.01534129082756408,0.011311743991427647,0.012801785088413453,0.01392438757079617
ewe,0.020579131709382636,0.013264556396279659,0.010078077123580442,0.017202521491526568,0.015281071680192326
fon,0.018247657746542245,0.013653686518409813,0.010253903056764102,0.01259012849368446,0.013686343953850155
hau,0.018134392607862537,0.015612724866514327,0.010053104364487808,0.009933339853887446,0.01343339042318803
ibo,0.017602772120881127,0.014783602712668653,0.00925427973652404,0.009004368974274257,0.01266125588608702
kin,0.0188636664988735,0.010642125607773778,0.008786938848061254,0.009576648501024465,0.01196734486393325
lug,0.01751110040822823,0.01297560067359882,0.01094894332891272,0.01104105094600527,0.01311917383918626
luo,0.019112504926852125,0.012669513225773699,0.008913377404496714,0.00960618699537008,0.012575395638123155
mos,0.019102512393146753,0.0135988732054102,0.009594691067832173,0.01428294983907108,0.014144756626365051
nya,0.015531158263001998,0.01297673913086328,0.009802136994949251,0.011253827718064713,0.01239096552671981
pcm,0.01716709118045401,0.011785146064539731,0.012555974766655709,0.017926285641806317,0.014858624413363941
sna,0.015502358080993872,0.013714817611798935,0.010828553781720984,0.007351807063059823,0.011849384134393404
swa,0.018758569120109314,0.012732715895253932,0.011357777721968887,0.012182505563941959,0.013757892075318523
tsn,0.017657585819506494,0.012806964870833326,0.01067543149656558,0.009177815357361396,0.012579449386066699
twi,0.01600300944664923,0.01218762565349607,0.007939984120639565,0.010796815634421364,0.011731858713801557
wol,0.018080625519360183,0.01643540004533861,0.009904343555717787,0.010340050825561775,0.013690104986494589
xho,0.017834253560067737,0.01553456124929653,0.010704767847528274,0.009298142459556402,0.013342931279112236
yor,0.020219092050865584,0.0182715580203876,0.013097715767798945,0.01502719071595493,0.016653889138751765
zul,0.01701740389034967,0.012635080636755447,0.00971473555546254,0.008480130808493413,0.011961837722765267
