,DATE,LOC,PER,ORG,Mean
kin,0.9999457597732544,0.9999191164970398,0.9997953772544861,0.9998735189437866,0.9999097485046882
hau,0.9998754262924194,0.9998173117637634,0.9997784495353699,0.9999314546585083,0.9998722300901042
zul,0.9999287128448486,0.9997814893722534,0.9996535181999207,0.9998764395713806,0.9998567932611936
twi,0.9997729659080505,0.9999051690101624,0.9998143911361694,0.9998568296432495,0.9998441934585571
luo,0.999819815158844,0.9999352693557739,0.9997796416282654,0.9997597932815552,0.9998367691968942
ibo,0.9999551773071289,0.999711811542511,0.999819278717041,0.9998407959938049,0.9998354958249377
bam,0.99986332654953,0.9999172687530518,0.9998031258583069,0.9997112154960632,0.9998298898919836
lug,0.9998360872268677,0.9998910427093506,0.9996756315231323,0.9997390508651733,0.9998182569231305
tsn,0.9998667240142822,0.9999188780784607,0.9997822046279907,0.9996606707572937,0.9998145614351545
mos,0.9997142553329468,0.9998341202735901,0.9996751546859741,0.9998770356178284,0.9998050076620919
fon,0.9997783303260803,0.9998659491539001,0.99974524974823,0.9997650384902954,0.9998016032305631
nya,0.9998218417167664,0.9997962117195129,0.999809205532074,0.9996994137763977,0.9997734427452087
wol,0.9998505711555481,0.9997856020927429,0.9997885227203369,0.999588131904602,0.9997426581073117
sna,0.9999071359634399,0.9994705319404602,0.9997701644897461,0.999813973903656,0.9997315762879012
yor,0.9998129606246948,0.9995627403259277,0.9997429251670837,0.9997974634170532,0.9997248696042346
bbj,0.999708890914917,0.9996370077133179,0.9998025894165039,0.9997888207435608,0.9997139371834792
xho,0.9997397661209106,0.9994857311248779,0.9996654987335205,0.9998003840446472,0.9996750393471161
swa,0.9996853470802307,0.9998587965965271,0.9997214674949646,0.9994252324104309,0.9996581472359695
ewe,0.9990643262863159,0.9998378753662109,0.9997628927230835,0.9998648762702942,0.9995935419937233
pcm,0.9991685748100281,0.9998818635940552,0.9997915625572205,0.9995695948600769,0.9995465448924473
