,PER,DATE,LOC,ORG
bam,0.9987415671348572,0.9991236925125122,0.9987837076187134,0.9995283484458923
bbj,0.9987605214118958,0.9972949028015137,0.9947748780250549,0.9960815906524658
ewe,0.9986218214035034,0.9764791131019592,0.9989801049232483,0.9990010261535645
fon,0.9984186887741089,0.998851478099823,0.9980236291885376,0.9996500611305237
hau,0.9983794093132019,0.9996541738510132,0.99610835313797,0.9995899200439453
ibo,0.999045193195343,0.9997481107711792,0.9981818795204163,0.9996563792228699
kin,0.9984068274497986,0.9993680715560913,0.9993346333503723,0.9998241662979126
lug,0.9979310631752014,0.9987982511520386,0.9976604580879211,0.9993127584457397
luo,0.9970231652259827,0.9996656775474548,0.9992791414260864,0.9992679953575134
mos,0.9967799782752991,0.9962451457977295,0.9984345436096191,0.9995054602622986
nya,0.9984122514724731,0.9991728663444519,0.998714804649353,0.9995737671852112
pcm,0.9988670349121094,0.9952170252799988,0.9983232021331787,0.9991642236709595
sna,0.9984444379806519,0.9993854761123657,0.9966875910758972,0.9994827508926392
swa,0.997939944267273,0.9986100196838379,0.9997273683547974,0.9993354678153992
tsn,0.9985718727111816,0.9993708729743958,0.9994632005691528,0.9983593821525574
twi,0.99862140417099,0.9978376030921936,0.9979332089424133,0.9996963143348694
wol,0.9990768432617188,0.9994218349456787,0.9981212615966797,0.9992195963859558
xho,0.9991602301597595,0.9995943903923035,0.9935246706008911,0.9995666742324829
yor,0.9976025223731995,0.9988792538642883,0.9966655373573303,0.9994540810585022
zul,0.9992392063140869,0.9995867609977722,0.9974645972251892,0.9997593760490417
