,ORG,DATE,PER,LOC
bam,0.9397532939910889,0.9641013145446777,0.9480520486831665,0.9730249643325806
bbj,0.9694008827209473,0.9412616491317749,0.9627668857574463,0.9424270987510681
ewe,0.9753143191337585,0.9315162301063538,0.9483551383018494,0.9595621824264526
fon,0.9747225642204285,0.9649198055267334,0.944576621055603,0.9501566886901855
hau,0.9697197079658508,0.9854567646980286,0.9578896164894104,0.9605008959770203
ibo,0.9808374047279358,0.9902596473693848,0.9568648338317871,0.9695764780044556
kin,0.9809072613716125,0.9698020219802856,0.9584090709686279,0.9801247119903564
lug,0.9751847982406616,0.9332883358001709,0.9560270309448242,0.9559823274612427
luo,0.9821897149085999,0.9796055555343628,0.9605422616004944,0.9758289456367493
mos,0.9784873127937317,0.931154727935791,0.9446192383766174,0.9621078968048096
nya,0.9753454327583313,0.9688317179679871,0.9579449892044067,0.947618842124939
pcm,0.9612991213798523,0.8928048610687256,0.9581348896026611,0.9680376648902893
sna,0.9765306711196899,0.9880949258804321,0.9608727693557739,0.9745550155639648
swa,0.974901556968689,0.9549762010574341,0.9515759348869324,0.9718824028968811
tsn,0.974454402923584,0.9807744026184082,0.9583672881126404,0.9701236486434937
twi,0.987930953502655,0.9710111021995544,0.9613848924636841,0.9720324277877808
wol,0.9706466197967529,0.9568912386894226,0.9628000259399414,0.9582991600036621
xho,0.9703739285469055,0.9885855317115784,0.9628673791885376,0.9605711102485657
yor,0.9752395749092102,0.953478217124939,0.9454702138900757,0.9467757344245911
zul,0.9787848591804504,0.983628511428833,0.9625102281570435,0.9730859398841858
