,DATE,ORG,LOC,PER,Mean
ibo,,0.9546478390693665,0.9484939575195312,,0.9515708982944489
hau,,0.9628497958183289,,0.8485737442970276,0.9506059331553323
lug,,0.9640655517578125,,0.8352174758911133,0.9502604007720947
nya,,0.9489266872406006,0.9444931149482727,,0.9467099010944366
tsn,,0.9464547634124756,0.9437448382377625,,0.945099800825119
twi,,0.9697515964508057,0.9287174344062805,0.8547666668891907,0.9438872787187684
mos,,0.9527909159660339,,0.8202856779098511,0.9385939261743
fon,,0.9521623849868774,0.9382449388504028,0.8235612511634827,0.9383182424419331
bam,,0.920447826385498,0.9485923647880554,,0.9345200955867767
luo,,0.9373388886451721,,0.8511101603507996,0.9281000963279179
sna,,,0.9358177185058594,0.8506501913070679,0.9266926263059888
ewe,,0.9349566698074341,,0.8465338945388794,0.9254828010286603
wol,,0.9284579753875732,0.9138356447219849,,0.921146810054779
pcm,,,0.9290435314178467,0.8323600888252258,0.9186845911400658
zul,,,0.9125244617462158,,0.9125244617462158
bbj,,0.9389625191688538,0.881764829158783,,0.9103636741638184
swa,,,0.9167256951332092,0.8550297021865845,0.9101154101746423
yor,,0.9414991736412048,0.8670655488967896,,0.9042823612689972
xho,,,0.9115996956825256,0.8357422351837158,0.9034721106290817
kin,,0.9359569549560547,0.8207639455795288,,0.8783604502677917
