,LOC,PER,DATE,ORG
bam,0.9229907989501953,0.8084516525268555,,0.9077039361000061
bbj,0.8359495997428894,0.8257924318313599,,0.931537389755249
ewe,0.9063621759414673,0.8147982358932495,,0.9425362944602966
fon,0.9153455495834351,0.8036468625068665,,0.9532926678657532
hau,0.9127006530761719,0.8233294486999512,,0.9543919563293457
ibo,0.929241418838501,0.8201456069946289,,0.9540391564369202
kin,0.9013068675994873,0.813429594039917,,0.9181259870529175
lug,0.881812572479248,0.7815659642219543,,0.9516664743423462
luo,0.9279630184173584,0.8161919116973877,,0.9047288298606873
mos,0.9212886095046997,0.8204215168952942,,0.9442804455757141
nya,0.9196266531944275,0.8318753242492676,,0.9462864398956299
pcm,0.9040846228599548,0.8005064725875854,,0.8833359479904175
sna,0.9228392839431763,0.8186232447624207,,0.9443507790565491
swa,0.8887116312980652,0.8117311000823975,,0.8932633996009827
tsn,0.9135599732398987,0.8231577277183533,,0.9344555735588074
twi,0.9167473316192627,0.8202348947525024,,0.9621461033821106
wol,0.9000998139381409,0.8250085115432739,,0.922903835773468
xho,0.8930277824401855,0.8134598731994629,,0.9497098326683044
yor,0.8086225390434265,0.7807687520980835,,0.9316949248313904
zul,0.9243435859680176,0.8206380605697632,,0.957010805606842
