,DATE,ORG,LOC,PER
bam,0.9151115417480469,0.8695799708366394,0.8874724507331848,0.7635027170181274
bbj,0.8348629474639893,0.8991518616676331,0.7697598934173584,0.7858939170837402
ewe,0.6781365871429443,0.9227149486541748,0.8682655096054077,0.7697513103485107
fon,0.8640714883804321,0.9314367175102234,0.8682226538658142,0.7587364912033081
hau,0.8965110778808594,0.9345893263816833,0.8674963712692261,0.7755069732666016
ibo,0.9486086368560791,0.9359424114227295,0.8948197364807129,0.7852527499198914
kin,0.9322971105575562,0.8854339718818665,0.8606746196746826,0.7613893747329712
lug,0.9593481421470642,0.9299578070640564,0.8446475267410278,0.7292394638061523
luo,0.9387722015380859,0.8567960262298584,0.8951237797737122,0.7793439030647278
mos,0.8982361555099487,0.9170929789543152,0.8805330991744995,0.7769372463226318
nya,0.9144710302352905,0.9420626759529114,0.8840975165367126,0.8084718585014343
pcm,0.7226058840751648,0.8398784399032593,0.8553223609924316,0.7445081472396851
sna,0.9569884538650513,0.9261784553527832,0.8929216861724854,0.7843378782272339
swa,0.8759588599205017,0.8529279232025146,0.8412467241287231,0.778862476348877
tsn,0.947679877281189,0.9099165201187134,0.8715019822120667,0.780655026435852
twi,0.9048537015914917,0.9477407336235046,0.8785099387168884,0.7783677577972412
wol,0.9343801736831665,0.8947083950042725,0.8501693606376648,0.7872617244720459
xho,0.9137635827064514,0.9281333088874817,0.8497939109802246,0.7740194201469421
yor,0.860786497592926,0.9030634760856628,0.7423199415206909,0.7305625677108765
zul,0.9343892335891724,0.9386765360832214,0.9000024795532227,0.7859750986099243
