,DATE,PER,LOC,ORG
bam,,0.8327581286430359,0.9279921650886536,0.8744675517082214
bbj,,0.8325919508934021,0.8394264578819275,0.9135932326316833
ewe,,0.8328068256378174,0.8814222812652588,0.9290298819541931
fon,,0.8255109190940857,0.9163855910301208,0.9399166703224182
hau,,0.834235429763794,0.9084512591362,0.9506953954696655
ibo,,0.8315650820732117,0.9265773892402649,0.9367409348487854
kin,,0.840512752532959,0.9108608365058899,0.9432370662689209
lug,,0.8162127733230591,0.9002688527107239,0.9420150518417358
luo,,0.8368874788284302,0.9209215044975281,0.8689959049224854
mos,,0.8398568034172058,0.9253716468811035,0.9310859441757202
nya,,0.8530274033546448,0.9146189093589783,0.9319222569465637
pcm,,0.8366076350212097,0.9013787508010864,0.8823504447937012
sna,,0.8348517417907715,0.9174670577049255,0.9367371797561646
swa,,0.8338083028793335,0.8954630494117737,0.8810445070266724
tsn,,0.8413844108581543,0.9015087485313416,0.909188449382782
twi,,0.8545377254486084,0.9256855845451355,0.9513384103775024
wol,,0.85065758228302,0.9025790691375732,0.9275409579277039
xho,,0.8194242119789124,0.8884318470954895,0.9321600794792175
yor,,0.7775800228118896,0.7904601693153381,0.921786904335022
zul,,0.830730140209198,0.9205612540245056,0.9437280297279358
