,DATE,ORG,LOC,PER,Mean
lug,,0.9706884622573853,,0.8646023273468018,0.9628302300417865
twi,,0.9747990369796753,0.9515972137451172,0.8807520866394043,0.9600271238730504
ibo,,0.9633527398109436,0.9546814560890198,,0.9590170979499817
nya,,0.9632768630981445,0.9545600414276123,0.8864846229553223,0.9561325357510493
tsn,,0.9607076644897461,0.9514455795288086,,0.9560766220092773
kin,,0.9686327576637268,0.9411795139312744,0.868209958076477,0.9515716674236151
sna,,0.9612925052642822,0.9458085894584656,0.8713905215263367,0.9503905463677186
hau,,0.9666808843612671,0.9369590878486633,0.8739338517189026,0.9488243655516551
ewe,,0.9529879093170166,,0.8667005896568298,0.9465962560088547
fon,,0.9534894227981567,0.9443695545196533,0.8610566258430481,0.9455497631659875
luo,,0.9438397884368896,,0.8759283423423767,0.9388093109484072
swa,,0.9381003379821777,0.9402316808700562,0.87937331199646,0.9368662902942071
mos,,0.9533089399337769,0.9204045534133911,0.8574762344360352,0.9338036500490628
wol,,0.9405731558799744,0.9224128723144531,0.8752533793449402,0.9293299512221262
bam,,0.8925273418426514,0.9531828165054321,,0.9228550791740417
zul,,,0.9212297201156616,0.8805909752845764,0.9182194427207664
xho,,,0.9225907325744629,0.861318826675415,0.9180520728782371
pcm,,0.9010226726531982,0.9350383877754211,0.8725680112838745,0.9162819717939084
bbj,,0.9382008910179138,0.8876111507415771,0.8603828549385071,0.9108858991127747
yor,,0.9411981105804443,0.8796099424362183,,0.9104040265083313
