,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.5427307486534119,0.9563151597976685,0.540562629699707,0.6684752106666565,0.8142785429954529,0.6668746471405029,0.6501502394676208,0.836480438709259,0.6482964754104614,0.7626763582229614,0.688946545124054,0.7611010670661926,0.7287425398826599
bbj,0.5700041055679321,0.9273574948310852,0.5677443742752075,0.4322860836982727,1.065564513206482,0.4298692047595978,0.7186455726623535,0.7501392960548401,0.7167240977287292,0.6430743336677551,0.8448972105979919,0.640795886516571,0.8927627801895142
ewe,0.5733646750450134,0.9237266182899475,0.571096658706665,0.7202407717704773,0.7480097413063049,0.7187628149986267,0.8025616407394409,0.628392219543457,0.8011269569396973,0.520309567451477,0.979479968547821,0.518214762210846,0.6918756365776062
fon,0.5480300188064575,0.9507575631141663,0.5456580519676208,0.5847309231758118,0.9113386869430542,0.5825161933898926,0.7784897089004517,0.6655979752540588,0.7768875956535339,0.7152211666107178,0.7546905279159546,0.7134021520614624,0.7302067875862122
hau,0.5828437805175781,0.9134070873260498,0.5806677937507629,0.5775892734527588,0.9191417098045349,0.575794517993927,0.8328623175621033,0.578165590763092,0.831643283367157,0.8523539900779724,0.5434077978134155,0.8513490557670593,0.9305722117424011
ibo,0.5988210439682007,0.8957443237304688,0.5967092514038086,0.6644579172134399,0.8191972970962524,0.662627637386322,0.8486852645874023,0.5501178503036499,0.8474659323692322,0.8965098857879639,0.4549510180950165,0.8957606554031372,0.6643549799919128
kin,0.5117291808128357,0.9882012009620667,0.5093470811843872,0.7992834448814392,0.6335874795913696,0.7982494831085205,0.8575672507286072,0.5337281227111816,0.8563961386680603,0.8786115646362305,0.4927239716053009,0.8777276277542114,0.8976551294326782
lug,0.5775052905082703,0.9192331433296204,0.5752735733985901,0.8672215938568115,0.515322208404541,0.8666888475418091,0.8004230856895447,0.6317861676216125,0.7991464734077454,0.8178040385246277,0.6036489009857178,0.8165650367736816,0.8415355682373047
luo,0.5564471483230591,0.9418628811836243,0.5541729927062988,0.802344560623169,0.6287375688552856,0.8014239072799683,0.818745493888855,0.602087140083313,0.817464292049408,0.8382916450500488,0.568697452545166,0.8372274041175842,0.8238603472709656
mos,0.600131094455719,0.8942806720733643,0.5980079770088196,0.6302244663238525,0.8599715232849121,0.6281874179840088,0.7663215398788452,0.683634877204895,0.7645719647407532,0.621558427810669,0.8699904084205627,0.6193119883537292,0.6414009928703308
nya,0.5981940627098083,0.8964439034461975,0.5961377024650574,0.7669084668159485,0.6827760338783264,0.7656286358833313,0.8750218152999878,0.4999563694000244,0.8740037679672241,0.8432812094688416,0.5598549246788025,0.84227454662323,0.7659434676170349
pcm,0.5556135773658752,0.9427474737167358,0.5532447099685669,0.7613784074783325,0.6908279657363892,0.7601393461227417,0.7233302593231201,0.7438679337501526,0.721706748008728,0.46087250113487244,1.0383905172348022,0.45789462327957153,0.7576574683189392
sna,0.5895506143569946,0.9060347080230713,0.5873614549636841,0.6007229685783386,0.8936185836791992,0.5984846949577332,0.82347571849823,0.594179093837738,0.8222183585166931,0.9085025191307068,0.42777910828590393,0.907829999923706,0.7820762395858765
swa,0.5005457997322083,0.999454140663147,0.4980664551258087,0.845945417881012,0.5550758242607117,0.8452011346817017,0.7852358222007751,0.6553841829299927,0.7835751175880432,0.7589471936225891,0.694338321685791,0.7571573853492737,0.8514789938926697
tsn,0.5703633427619934,0.9269699454307556,0.5680838823318481,0.6907068490982056,0.786502480506897,0.6890355348587036,0.8238340616226196,0.5935754776000977,0.8224402070045471,0.8688846230506897,0.5120846033096313,0.867936372756958,0.8166956305503845
twi,0.5858815908432007,0.9100751876831055,0.5837708711624146,0.7785874009132385,0.6654512286186218,0.777549147605896,0.8764045238494873,0.49718302488327026,0.8754489421844482,0.7686527967453003,0.6802164912223816,0.7669673562049866,0.8687764406204224
wol,0.5742533802986145,0.9227640628814697,0.5719435811042786,0.6163582801818848,0.8759472966194153,0.6142796277999878,0.7812319993972778,0.6614652276039124,0.7795616388320923,0.8360875248908997,0.5725600719451904,0.8348888158798218,0.6834744811058044
xho,0.5978807806968689,0.8967934250831604,0.5957568883895874,0.5521739721298218,0.9463889598846436,0.5497465133666992,0.7941026091575623,0.6417124271392822,0.7927285432815552,0.9020040035247803,0.44270986318588257,0.9012759923934937,0.7289426922798157
yor,0.446750283241272,1.0519027709960938,0.4439953863620758,0.45424795150756836,1.0447508096694946,0.4514003098011017,0.7364842891693115,0.7259693145751953,0.7344003915786743,0.6875048279762268,0.7905632853507996,0.6853597164154053,0.6757861375808716
zul,0.564725935459137,0.9330316781997681,0.562466561794281,0.7027941346168518,0.7709810733795166,0.7011657953262329,0.824897050857544,0.5917820930480957,0.8235383033752441,0.8568381071090698,0.5350923538208008,0.8557764887809753,0.8636153936386108
