,ORG,LOC,DATE,PER,Mean
kin,0.9087032079696655,0.8904141783714294,0.9351783394813538,0.7137335538864136,0.9062968864069356
lug,0.9052997827529907,0.9129151701927185,0.9034932851791382,0.6749519109725952,0.9012027243515114
luo,0.9018285870552063,0.8878107666969299,0.9161639213562012,0.7312511801719666,0.8975010940006801
ibo,0.9158686399459839,0.8241385221481323,0.9477863311767578,0.7481027841567993,0.892091466234876
twi,0.9396468997001648,0.8694154620170593,0.8771396279335022,0.7466044425964355,0.8915358263176757
zul,0.9100722670555115,0.8320805430412292,0.9218536019325256,0.7385086417198181,0.884119189404822
tsn,0.893328845500946,0.8320278525352478,0.9302362203598022,0.7391242384910583,0.881403525154312
sna,0.9108786582946777,0.7731033563613892,0.9432171583175659,0.7531917691230774,0.8725501670465841
nya,0.8950638175010681,0.8000290393829346,0.9172826409339905,0.767052948474884,0.8680973161350597
hau,0.9224627017974854,0.7626128196716309,0.9122282266616821,0.7455504536628723,0.862645384553191
xho,0.8926222920417786,0.746209442615509,0.9559838175773621,0.7365550398826599,0.8616038816315787
swa,0.84616619348526,0.8686615228652954,0.8564205765724182,0.7094478607177734,0.8532480914871414
wol,0.8861464858055115,0.7502781748771667,0.9001359343528748,0.7453192472457886,0.8429175762387066
fon,0.889885425567627,0.7680674195289612,0.8313626050949097,0.7255581021308899,0.8270649670006393
mos,0.8856872916221619,0.7942812442779541,0.7812977433204651,0.7393753528594971,0.8183169829380976
bam,0.7611405849456787,0.8256668448448181,0.8711931109428406,0.716397225856781,0.8166598437668441
ewe,0.8958041071891785,0.8294240832328796,0.6940166354179382,0.7411921620368958,0.8047208437671909
yor,0.8523804545402527,0.6802473664283752,0.8268334865570068,0.6688060760498047,0.7834304524706556
pcm,0.8283059000968933,0.8527449369430542,0.675422728061676,0.6972228288650513,0.7831985037048141
bbj,0.8530123233795166,0.6580004692077637,0.7830933332443237,0.7422066330909729,0.7641177456100265
