,DATE,PER,LOC,ORG,Mean
lug,,0.5986027717590332,0.8674803376197815,0.8473460078239441,0.8498750057035279
kin,,0.6791736483573914,0.8708755970001221,0.8334836363792419,0.8471406079033046
twi,,0.6974288821220398,0.8300784826278687,0.85936039686203,0.8404294235035054
ewe,,0.6501832604408264,0.8695057034492493,0.7951568961143494,0.8270260170825476
fon,,0.600451648235321,0.8099000453948975,0.8562325239181519,0.8262911010714411
ibo,,0.6262956261634827,0.8393556475639343,0.8218779563903809,0.8246656997689923
zul,,0.6533589363098145,0.8076483011245728,0.8274163603782654,0.812750581398751
tsn,,0.5999924540519714,0.8152883052825928,0.8154208660125732,0.8090819022030507
mos,,0.5847298502922058,0.7863613367080688,0.8391773104667664,0.806127397180761
swa,,0.6574957966804504,0.8299606442451477,0.77451092004776,0.7980200544144344
hau,,0.6232128143310547,0.7683215141296387,0.8359243869781494,0.7969119757124521
sna,,0.6615242958068848,0.8207929134368896,0.7780378460884094,0.7953991345988894
bam,,0.6079165935516357,0.8765294551849365,0.7214025855064392,0.7934014739342106
pcm,,0.6240236759185791,0.8743091821670532,0.720003068447113,0.7921134326064471
luo,,0.6913094520568848,0.8108636140823364,0.7754486203193665,0.7901897094782117
nya,,0.6561415791511536,0.7853319644927979,0.8030669093132019,0.7901783342500335
wol,,0.684085488319397,0.7172142863273621,0.8168197870254517,0.764601554685426
xho,,0.6280316114425659,0.7129361033439636,0.788530170917511,0.7471593062854508
bbj,,0.6536235809326172,0.6883774995803833,0.8060654997825623,0.7444953467082052
yor,,,0.5653923749923706,0.7968934774398804,0.6811429262161255
