,ORG,PER,DATE,LOC,Mean
twi,0.9740825891494751,0.912416398525238,,0.9562075734138489,0.9636092944052613
kin,0.9717662930488586,0.9060946106910706,,0.9573138952255249,0.9628377985028387
nya,0.9681218862533569,0.9152058362960815,,0.9570910334587097,0.9612258591698212
ibo,0.9647122025489807,0.9002849459648132,,0.9608756303787231,0.9609732668376664
lug,0.9668287038803101,0.8916595578193665,,0.9582155346870422,0.9604581611827739
sna,0.9658547043800354,0.9029348492622375,,0.9529789090156555,0.9577717011414685
zul,0.971723735332489,0.9062361121177673,,0.946911096572876,0.9577713585594325
hau,0.9727654457092285,0.904150664806366,,0.9443677067756653,0.9569816467831436
fon,0.9626674056053162,0.8931349515914917,,0.951465368270874,0.9552043062969319
tsn,0.961616575717926,0.9076941609382629,,0.9510140419006348,0.9548991588712896
mos,0.9633325338363647,0.8912334442138672,,0.9483796954154968,0.9539739009246085
luo,0.9520168304443359,0.9025406241416931,,0.9565510153770447,0.9527768365387778
swa,0.9536965489387512,0.908379077911377,,0.9512885808944702,0.951207706071798
ewe,0.957322359085083,0.9006214737892151,,0.9431753158569336,0.948803380276393
xho,0.964806318283081,0.8868175745010376,,0.933929443359375,0.9475460272390865
wol,0.9596118330955505,0.9077708721160889,,0.9340832829475403,0.9457094021213864
pcm,0.9369347095489502,0.903858482837677,,0.9456852078437805,0.9402191390111608
bam,0.9040696024894714,0.9010509252548218,,0.9624384641647339,0.9323160787230557
bbj,0.9480734467506409,0.8957284092903137,,0.9042804837226868,0.9252901140925953
yor,0.9445118308067322,0.8651982545852661,,0.883592963218689,0.9126294608255034
