,DATE,LOC,ORG,PER
bam,0.8711931109428406,0.8203687071800232,0.8049945831298828,0.7186044454574585
bbj,0.8022295832633972,0.6564517617225647,0.8363022208213806,0.7422066330909729
ewe,0.7023890614509583,0.8294240832328796,0.8871372938156128,0.7470139861106873
fon,0.8313626050949097,0.7680674195289612,0.889885425567627,0.7362310290336609
hau,0.9204443097114563,0.7637136578559875,0.9224627017974854,0.7455504536628723
ibo,0.943583607673645,0.8241385221481323,0.9218959212303162,0.7481027841567993
kin,0.9350698590278625,0.8904141783714294,0.9282846450805664,0.7362138628959656
lug,0.9034932851791382,0.9129151701927185,0.8979393243789673,0.7442574501037598
luo,0.9160809516906738,0.8878107666969299,0.9018285870552063,0.7312511801719666
mos,0.7895309329032898,0.8082877993583679,0.8895979523658752,0.7443883419036865
nya,0.9243994355201721,0.8704718947410583,0.9258409142494202,0.7651680111885071
pcm,0.7173263430595398,0.8412632346153259,0.8642481565475464,0.7114956974983215
sna,0.9513556361198425,0.7723351716995239,0.9290505051612854,0.7477254867553711
swa,0.8605805039405823,0.8925422430038452,0.8829039931297302,0.7094478607177734
tsn,0.9302362203598022,0.8320278525352478,0.8807244300842285,0.7391242384910583
twi,0.8814449906349182,0.8720106482505798,0.9396468997001648,0.7466044425964355
wol,0.9120233654975891,0.7839365005493164,0.9007930755615234,0.7424217462539673
xho,0.9540424942970276,0.7462889552116394,0.8926222920417786,0.7540673613548279
yor,0.8268334865570068,0.6802473664283752,0.8750369548797607,0.6688060760498047
zul,0.926013171672821,0.8234513998031616,0.9100722670555115,0.7487530708312988
