,PER,LOC,ORG,DATE,SWD_mean
bam,0.01342831738975292,0.011187604359292891,0.012953625558111526,,0.012523182435719113
bbj,0.014823013211753278,0.014739283009475912,0.008951864958362421,,0.012838053726530537
ewe,0.015438078813986067,0.010722803384624058,0.009607885483092105,,0.01192292256056741
fon,0.01595979525700386,0.01217993356021907,0.009808567788240907,,0.012649432201821279
hau,0.014230460373255482,0.013018881529205828,0.008093818733414082,,0.011781053545291797
ibo,0.012588802367645258,0.010633914011123125,0.008968066278612241,,0.010730260885793541
kin,0.014615376628171362,0.011570154449145775,0.008869618686730973,,0.01168504992134937
lug,0.014887173080751381,0.010782179825127969,0.009580678998645453,,0.011750010634841601
luo,0.01389217191717762,0.00979611079355891,0.011086480376434338,,0.011591587695723623
mos,0.018883334576457855,0.013461474867654033,0.008575811601076566,,0.013640207015062819
nya,0.012226347992509545,0.012444427751688636,0.009126030473453284,,0.011265602072550488
pcm,0.012389447601435677,0.009966557571715384,0.011388196468942624,,0.011248067214031229
sna,0.013029389516304946,0.011148447033065167,0.009296519159761374,,0.011158118569710496
swa,0.021944126076959947,0.010822495522461395,0.010726230176260287,,0.014497617258560544
tsn,0.0133049920987105,0.0101163611998345,0.009105494247705792,,0.010842282515416931
twi,0.012587492343300255,0.012471994565203204,0.008359977069630986,,0.011139821326044816
wol,0.015177758578829526,0.014625465941207949,0.009607252002297173,,0.013136825507444883
xho,0.014882333785863011,0.013283917890476005,0.010373299071034126,,0.012846516915791048
yor,0.02044905764159921,0.016633876092782884,0.009825688799537602,,0.015636207511306566
zul,0.012947810744663002,0.010779634462778631,0.009286790866099182,,0.011004745357846938
