layer,model,rank_type,language,cosine
1,mbert,top5,kin,0.8562202165758829
1,mbert,top5,lug,0.8363314945240972
1,mbert,top5,luo,0.8256159176038006
1,mbert,top5,ibo,0.8220213255857233
1,mbert,top5,nya,0.8182441124453006
1,mbert,worst5,bbj,0.5864883230270677
1,mbert,worst5,yor,0.609688873835436
1,mbert,worst5,mos,0.6604607904677003
1,mbert,worst5,pcm,0.6737570202569636
1,mbert,worst5,fon,0.6753933454748839
2,mbert,top5,kin,0.8742887304210913
2,mbert,top5,ibo,0.8469007601888161
2,mbert,top5,luo,0.8435842737438172
2,mbert,top5,nya,0.8429260598080052
2,mbert,top5,lug,0.8403979884045018
2,mbert,worst5,bbj,0.6293395835896489
2,mbert,worst5,yor,0.6526729760207529
2,mbert,worst5,pcm,0.6934095923043299
2,mbert,worst5,mos,0.6935890615768633
2,mbert,worst5,fon,0.7153435041272421
3,mbert,top5,kin,0.9245913898538104
3,mbert,top5,luo,0.9027333857193394
3,mbert,top5,nya,0.9002235514598256
3,mbert,top5,sna,0.898806033015564
3,mbert,top5,twi,0.8963131762239251
3,mbert,worst5,bbj,0.7643597470180882
3,mbert,worst5,yor,0.7817291093310659
3,mbert,worst5,pcm,0.8060989264115261
3,mbert,worst5,mos,0.8092655023251931
3,mbert,worst5,ewe,0.8197646230224549
4,mbert,top5,kin,0.9407974695909055
4,mbert,top5,luo,0.9248835007975421
4,mbert,top5,nya,0.9197117711302489
4,mbert,top5,sna,0.9168810199877722
4,mbert,top5,twi,0.9164629320460042
4,mbert,worst5,bbj,0.811902289941242
4,mbert,worst5,yor,0.8272246990616866
4,mbert,worst5,pcm,0.8406251492149873
4,mbert,worst5,mos,0.8480245275447374
4,mbert,worst5,ewe,0.8487356042298745
5,mbert,top5,kin,0.9569637044834027
5,mbert,top5,luo,0.9470415669163381
5,mbert,top5,nya,0.9427688678731443
5,mbert,top5,lug,0.9379512070045071
5,mbert,top5,twi,0.9375514485078846
5,mbert,worst5,bbj,0.8628641894170306
5,mbert,worst5,yor,0.8765622885834201
5,mbert,worst5,pcm,0.8852362962845429
5,mbert,worst5,ewe,0.8899392218101682
5,mbert,worst5,fon,0.8941806654917599
6,mbert,top5,kin,0.9660932523371979
6,mbert,top5,luo,0.9605502339172864
6,mbert,top5,nya,0.9562641349364454
6,mbert,top5,lug,0.953453451942584
6,mbert,top5,zul,0.9511505956724873
6,mbert,worst5,bbj,0.8889309663785099
6,mbert,worst5,yor,0.9081039805737693
6,mbert,worst5,fon,0.9123814963293201
6,mbert,worst5,pcm,0.9149220958156535
6,mbert,worst5,ewe,0.9207548682145247
7,mbert,top5,kin,0.9498139924890413
7,mbert,top5,luo,0.9432774059415803
7,mbert,top5,lug,0.9377387957622999
7,mbert,top5,nya,0.9363653152946412
7,mbert,top5,twi,0.9286714975289473
7,mbert,worst5,bbj,0.8515392033446805
7,mbert,worst5,yor,0.8741154481419741
7,mbert,worst5,fon,0.8768418173151692
7,mbert,worst5,pcm,0.8877832257528631
7,mbert,worst5,ewe,0.8899800732066938
8,mbert,top5,kin,0.945246991835867
8,mbert,top5,luo,0.935056789966393
8,mbert,top5,lug,0.9336919086811737
8,mbert,top5,nya,0.9303155730715574
8,mbert,top5,twi,0.9265069429642885
8,mbert,worst5,bbj,0.8342122365170577
8,mbert,worst5,yor,0.8599164215285634
8,mbert,worst5,fon,0.8622683289795723
8,mbert,worst5,bam,0.8701525440053364
8,mbert,worst5,pcm,0.8707479656211973
9,mbert,top5,kin,0.9575540564191622
9,mbert,top5,luo,0.9534824747113105
9,mbert,top5,ibo,0.9518167709741067
9,mbert,top5,nya,0.9497951104885011
9,mbert,top5,zul,0.9485917854809699
9,mbert,worst5,bbj,0.8916687851189942
9,mbert,worst5,pcm,0.9022870310961105
9,mbert,worst5,ewe,0.9048842676668343
9,mbert,worst5,bam,0.9061436338687506
9,mbert,worst5,yor,0.9083419044812521
10,mbert,top5,kin,0.9591510046739131
10,mbert,top5,twi,0.9585508005693555
10,mbert,top5,nya,0.958441354567185
10,mbert,top5,luo,0.9565199112985283
10,mbert,top5,ibo,0.9556414324324578
10,mbert,worst5,bam,0.9036449792329222
10,mbert,worst5,bbj,0.9118653803598136
10,mbert,worst5,yor,0.9271928197704256
10,mbert,worst5,ewe,0.9310063244774938
10,mbert,worst5,fon,0.931661254260689
11,mbert,top5,kin,0.9642437882721424
11,mbert,top5,twi,0.9638168108649552
11,mbert,top5,nya,0.9630279983393848
11,mbert,top5,luo,0.960838335333392
11,mbert,top5,ibo,0.9587076755706221
11,mbert,worst5,bbj,0.9176415223628283
11,mbert,worst5,bam,0.9176872929092497
11,mbert,worst5,yor,0.9246967986691743
11,mbert,worst5,pcm,0.9350583620835096
11,mbert,worst5,fon,0.9363692493643612
12,mbert,top5,kin,0.8536858283914626
12,mbert,top5,nya,0.8349891835823655
12,mbert,top5,lug,0.8341602492146194
12,mbert,top5,twi,0.8322793780826032
12,mbert,top5,zul,0.8166987630538642
12,mbert,worst5,yor,0.6634891959838569
12,mbert,worst5,bbj,0.6778392030391842
12,mbert,worst5,pcm,0.7111716824583709
12,mbert,worst5,fon,0.7225113362073898
12,mbert,worst5,wol,0.7304371143691242
