,LOC,PER,ORG,DATE,Mean
sna,0.979026198387146,0.9320970177650452,0.9752128720283508,,0.9745710908241991
hau,0.9719885587692261,0.928372859954834,0.9731397032737732,,0.9700627383196129
lug,,0.9434093236923218,0.9730590581893921,,0.9698823009218488
twi,0.9693006277084351,0.9451226592063904,0.9693765640258789,,0.9679678824712645
xho,0.9677357077598572,0.9269919395446777,,,0.9633703040225166
zul,0.9631892442703247,0.9508465528488159,,,0.9618668130465916
ibo,0.9775010943412781,,0.9422765374183655,,0.9598888158798218
fon,0.9656128287315369,0.9096971154212952,0.9597077965736389,,0.9596623958281751
wol,0.9684962034225464,0.9470049738883972,0.9469775557518005,,0.9571294132268654
bam,0.9704524874687195,,0.9423221945762634,,0.9563873410224915
mos,,0.9361975193023682,0.957382321357727,,0.95511252113751
nya,0.9578862190246582,0.9541690945625305,0.9477517604827881,,0.9528954107806368
kin,0.9652946591377258,0.9420242309570312,0.9365729093551636,,0.9504294699093081
yor,0.9384319186210632,,0.9523428082466125,,0.9453873634338379
bbj,0.9387543201446533,,0.9516645669937134,,0.9452094435691833
tsn,0.9452175498008728,,0.928154706954956,,0.9366861283779144
swa,0.9478284120559692,0.9413177371025085,0.9225215911865234,,0.9355227036296196
ewe,,0.9384946823120117,0.9289728999137878,,0.9299930908850261
pcm,0.921284019947052,0.9259548187255859,0.9292065501213074,,0.925285447318599
luo,,0.9353420734405518,0.919618546962738,,0.9213032105139324
