layer,model,rank_type,language,cosine
1,mbert,top5,xho,0.9997362169352445
1,mbert,top5,lug,0.9996074236832656
1,mbert,top5,luo,0.9995874236156415
1,mbert,top5,tsn,0.9995794814902467
1,mbert,top5,zul,0.9995785936132654
1,mbert,worst5,yor,0.9985887245698408
1,mbert,worst5,pcm,0.9988693393670119
1,mbert,worst5,bbj,0.9989664306888333
1,mbert,worst5,fon,0.9990085611095676
1,mbert,worst5,bam,0.9992958353711413
2,mbert,top5,xho,0.9999519222742551
2,mbert,top5,lug,0.9999284829412188
2,mbert,top5,luo,0.9999241426393584
2,mbert,top5,tsn,0.9999226711013101
2,mbert,top5,hau,0.9999226540714116
2,mbert,worst5,yor,0.9997382612971516
2,mbert,worst5,fon,0.9998174387139159
2,mbert,worst5,bbj,0.9998213695241259
2,mbert,worst5,pcm,0.9998276225932232
2,mbert,worst5,sna,0.9998655868815137
3,mbert,top5,xho,0.9999719262123108
3,mbert,top5,lug,0.9999698532092107
3,mbert,top5,zul,0.9999677980100954
3,mbert,top5,kin,0.9999666035949409
3,mbert,top5,luo,0.9999644090602924
3,mbert,worst5,yor,0.9998951329813375
3,mbert,worst5,pcm,0.9999065089535404
3,mbert,worst5,bbj,0.9999152708363224
3,mbert,worst5,fon,0.9999200980384628
3,mbert,worst5,swa,0.9999367803722233
4,mbert,top5,lug,0.9999290743431488
4,mbert,top5,kin,0.999913050756826
4,mbert,top5,zul,0.9998994307084517
4,mbert,top5,hau,0.999888793214575
4,mbert,top5,nya,0.9998817343216437
4,mbert,worst5,pcm,0.999557760628787
4,mbert,worst5,yor,0.9995805288290048
4,mbert,worst5,bbj,0.9996499171504727
4,mbert,worst5,fon,0.9996983393446192
4,mbert,worst5,swa,0.9997597770257429
5,mbert,top5,luo,0.9900432043261342
5,mbert,top5,kin,0.989842833636643
5,mbert,top5,lug,0.989155168657179
5,mbert,top5,nya,0.9883798732386007
5,mbert,top5,hau,0.9877555672224466
5,mbert,worst5,bbj,0.964583331114286
5,mbert,worst5,pcm,0.9706235365434126
5,mbert,worst5,fon,0.9706266174068698
5,mbert,worst5,yor,0.9724218512510324
5,mbert,worst5,bam,0.9745887781118417
6,mbert,top5,hau,0.9824866311890739
6,mbert,top5,luo,0.9806707230481234
6,mbert,top5,xho,0.9799193910190037
6,mbert,top5,ibo,0.9798646809218766
6,mbert,top5,kin,0.979716668655346
6,mbert,worst5,pcm,0.9519138529703215
6,mbert,worst5,bbj,0.9568671491238978
6,mbert,worst5,swa,0.9581670017985554
6,mbert,worst5,fon,0.9624724341677381
6,mbert,worst5,yor,0.9650434735533479
7,mbert,top5,hau,0.9824669086016141
7,mbert,top5,wol,0.9811325130554346
7,mbert,top5,nya,0.9806491354337106
7,mbert,top5,xho,0.9789369931587806
7,mbert,top5,kin,0.9778240930575591
7,mbert,worst5,swa,0.9421709500826322
7,mbert,worst5,pcm,0.949654391178718
7,mbert,worst5,bbj,0.9554289499154458
7,mbert,worst5,bam,0.963473705145029
7,mbert,worst5,yor,0.9638997373672632
8,mbert,top5,hau,0.9778378582917727
8,mbert,top5,wol,0.9764867929311899
8,mbert,top5,nya,0.9761567390882052
8,mbert,top5,xho,0.9717643066094472
8,mbert,top5,kin,0.9713229617247214
8,mbert,worst5,swa,0.9189039537539849
8,mbert,worst5,pcm,0.9271593861854993
8,mbert,worst5,bbj,0.9427054042999561
8,mbert,worst5,ewe,0.9500942803346194
8,mbert,worst5,yor,0.9563662891204541
9,mbert,top5,nya,0.9804549010900351
9,mbert,top5,wol,0.9800905126791734
9,mbert,top5,hau,0.9789781524584844
9,mbert,top5,lug,0.9770010950473639
9,mbert,top5,xho,0.9769586359079068
9,mbert,worst5,pcm,0.9340657717906512
9,mbert,worst5,swa,0.9359963903060327
9,mbert,worst5,bbj,0.9515871015878824
9,mbert,worst5,ewe,0.9593738099703422
9,mbert,worst5,yor,0.963070273399353
10,mbert,top5,lug,0.9859375710840579
10,mbert,top5,nya,0.9828055248810694
10,mbert,top5,kin,0.9794591894516578
10,mbert,top5,hau,0.9792382304485028
10,mbert,top5,wol,0.9790228215547708
10,mbert,worst5,pcm,0.9423548911626523
10,mbert,worst5,swa,0.9468688884606729
10,mbert,worst5,bbj,0.9553502305195882
10,mbert,worst5,yor,0.9610023498535156
10,mbert,worst5,ewe,0.9619511090792142
11,mbert,top5,lug,0.9902154516290735
11,mbert,top5,nya,0.9880074423093063
11,mbert,top5,kin,0.9858904893581684
11,mbert,top5,hau,0.9839260257207431
11,mbert,top5,xho,0.9820842257252446
11,mbert,worst5,pcm,0.9482495062626325
11,mbert,worst5,yor,0.9585659503936768
11,mbert,worst5,bbj,0.9592789789805045
11,mbert,worst5,swa,0.9622889218422083
11,mbert,worst5,fon,0.9717043798703414
12,mbert,top5,lug,0.9862427866017377
12,mbert,top5,nya,0.9833047504608448
12,mbert,top5,kin,0.979288752262409
12,mbert,top5,xho,0.9783622092670865
12,mbert,top5,tsn,0.9763573110103607
12,mbert,worst5,bbj,0.8970247209072113
12,mbert,worst5,pcm,0.9306117737734759
12,mbert,worst5,fon,0.9406380641918916
12,mbert,worst5,yor,0.945528119802475
12,mbert,worst5,bam,0.9525375068187714
