,LOC,PER,ORG,DATE
bam,0.9704524874687195,0.9263160824775696,0.9436856508255005,0.8468804359436035
bbj,0.94586181640625,0.9388359785079956,0.9565935134887695,0.8216415047645569
ewe,0.9388377070426941,0.9408493041992188,0.9622554779052734,0.8130053281784058
fon,0.9668871164321899,0.9179965853691101,0.9610468149185181,0.7663207054138184
hau,0.9718677401542664,0.9444948434829712,0.9703280329704285,0.8667015433311462
ibo,0.9775010943412781,0.9410083293914795,0.9597482681274414,0.8412749767303467
kin,0.9720050096511841,0.9420242309570312,0.9700974225997925,0.8452854156494141
lug,0.9538747072219849,0.9434093236923218,0.981693685054779,0.8430002331733704
luo,0.9606719613075256,0.9386729001998901,0.9579269886016846,0.8605732917785645
mos,0.9734677076339722,0.9388161897659302,0.9698648452758789,0.8240293860435486
nya,0.9578862190246582,0.9510373473167419,0.9751749634742737,0.8381549119949341
pcm,0.9379703402519226,0.9344398975372314,0.9196447134017944,0.829987108707428
sna,0.9803935885429382,0.9320970177650452,0.9821824431419373,0.8287312388420105
swa,0.9478284120559692,0.9458951354026794,0.9460312724113464,0.8696733117103577
tsn,0.9419581890106201,0.9367508292198181,0.9377280473709106,0.8715659976005554
twi,0.975317656993866,0.9473016262054443,0.9746949672698975,0.8213304281234741
wol,0.9684962034225464,0.9505138993263245,0.955579936504364,0.8359565734863281
xho,0.9745136499404907,0.9269919395446777,0.972736120223999,0.8351477980613708
yor,0.9472975730895996,0.9420974254608154,0.9602223634719849,0.8484034538269043
zul,0.9587838053703308,0.9508465528488159,0.979491114616394,0.8536348938941956
