,ORG,PER,LOC,DATE,Mean
xho,0.9999621510505676,0.9998689889907837,0.9999603629112244,0.9999680519104004,0.9999616683698168
lug,0.9999700784683228,0.9999396204948425,0.9999518990516663,0.9999152421951294,0.9999456199166042
zul,0.999973475933075,0.9999315142631531,0.9999353885650635,0.9999223351478577,0.9999434936280344
hau,0.9999422430992126,0.9999205470085144,0.9999619126319885,0.999912440776825,0.9999385063165154
nya,0.9999659657478333,0.9999427199363708,0.999963641166687,0.9998787045478821,0.9999362335485571
kin,0.9999570846557617,0.9999052286148071,0.9999697804450989,0.999866783618927,0.9999307066786522
tsn,0.9999261498451233,0.999913215637207,0.9999350309371948,0.9999278783798218,0.9999293634314942
luo,0.9999041557312012,0.9998736381530762,0.9999454617500305,0.999930202960968,0.9999255682128707
ibo,0.99990314245224,0.9999117851257324,0.9999364614486694,0.9999220967292786,0.9999203946855333
wol,0.9999234676361084,0.9998737573623657,0.9999231100082397,0.9999016523361206,0.9999152468700035
swa,0.9999217391014099,0.9998883605003357,0.9999388456344604,0.9998825788497925,0.999913877521465
mos,0.9999310970306396,0.9999038577079773,0.9999223947525024,0.9998821020126343,0.9999117076007369
sna,0.9999712705612183,0.9998987317085266,0.9999532699584961,0.9998078942298889,0.9999105747229133
twi,0.9999300837516785,0.9999233484268188,0.9999011158943176,0.9998761415481567,0.9999028568953471
bam,0.9999109506607056,0.9998854398727417,0.999890923500061,0.9999061822891235,0.9999023473340701
ewe,0.999897837638855,0.9998871088027954,0.999912679195404,0.9998853802680969,0.9998984064152038
bbj,0.9998735785484314,0.9998804926872253,0.9998655319213867,0.9998160004615784,0.9998522681348464
pcm,0.9998160004615784,0.9998302459716797,0.9998665452003479,0.9998356103897095,0.999839206147038
fon,0.9999018907546997,0.9997907280921936,0.9999052286148071,0.9996005296707153,0.9998023178842332
yor,0.9998241066932678,0.9998366236686707,0.9998021125793457,0.9997262358665466,0.9997851805749283
