,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9293466806411743,0.3759075403213501,0.9293074011802673,0.9656206369400024,0.2622186243534088,0.9656015634536743,0.9611027836799622,0.27891677618026733,0.9610823392868042,0.9724889993667603,0.23456797003746033,0.9724737405776978,0.5142388343811035
bbj,0.9241751432418823,0.3894222676753998,0.9241331815719604,0.9386903643608093,0.35017070174217224,0.9386562705039978,0.9651047587394714,0.2641788423061371,0.9650866985321045,0.9534792900085449,0.3050270080566406,0.9534532427787781,0.5391147136688232
ewe,0.9323296546936035,0.367887020111084,0.932292103767395,0.9805600643157959,0.197179913520813,0.9805493950843811,0.9814459681510925,0.19263453781604767,0.9814362525939941,0.971243679523468,0.23981785774230957,0.9712275862693787,0.726577639579773
fon,0.9275037050247192,0.3807792067527771,0.9274632334709167,0.9640238285064697,0.2682397663593292,0.9640037417411804,0.9604535102844238,0.28123459219932556,0.9604328870773315,0.9413464069366455,0.34250178933143616,0.9413146376609802,0.5814934372901917
hau,0.9236618280410767,0.3907378613948822,0.923620879650116,0.9792425036430359,0.2037523239850998,0.979231059551239,0.9845471382141113,0.17580091953277588,0.9845392107963562,0.9803277254104614,0.19835464656352997,0.9803169369697571,0.2727447748184204
ibo,0.936211884021759,0.35717761516571045,0.9361768364906311,0.9800982475280762,0.19950823485851288,0.9800872802734375,0.9846951365470886,0.17495609819889069,0.9846873879432678,0.9806045293807983,0.1969555914402008,0.9805935621261597,0.5369477272033691
kin,0.9144760370254517,0.4135793447494507,0.9144322276115417,0.9848089218139648,0.17430584132671356,0.9848007559776306,0.9920309782028198,0.12624742090702057,0.9920268058776855,0.9721661806106567,0.23594039678573608,0.9721508026123047,0.8599671125411987
lug,0.9270812273025513,0.3818871080875397,0.927042543888092,0.9922018647193909,0.1248854324221611,0.992197573184967,0.9939022660255432,0.1104312464594841,0.9938992857933044,0.9789987802505493,0.20494604110717773,0.9789871573448181,0.7421940565109253
luo,0.9525251388549805,0.308138906955719,0.9524990320205688,0.9882006645202637,0.15361852943897247,0.9881942272186279,0.9875355958938599,0.1578889638185501,0.9875291585922241,0.9820188283920288,0.18963776528835297,0.9820088148117065,0.7771453261375427
mos,0.9306197166442871,0.3725060820579529,0.9305824041366577,0.9692592620849609,0.24795453250408173,0.9692426323890686,0.9837148785591125,0.1804729551076889,0.9837065935134888,0.9599635004997253,0.28297168016433716,0.9599418640136719,0.43637868762016296
nya,0.9402198791503906,0.34577491879463196,0.9401875734329224,0.9823211431503296,0.18803724646568298,0.9823114275932312,0.9929159879684448,0.11902965605258942,0.9929123520851135,0.971144437789917,0.24023206532001495,0.9711287617683411,0.5972874164581299
pcm,0.9396239519119263,0.34749388694763184,0.9395908117294312,0.9713459014892578,0.23939144611358643,0.9713301658630371,0.9662742018699646,0.2597149908542633,0.966256320476532,0.9512073993682861,0.3123868405818939,0.9511801600456238,0.9022265076637268
sna,0.9240936636924744,0.38963133096694946,0.9240533709526062,0.9713608622550964,0.23932871222496033,0.9713456630706787,0.9834488034248352,0.18194134533405304,0.9834403395652771,0.9452188611030579,0.3310019075870514,0.9451894760131836,0.7068111300468445
swa,0.9547086358070374,0.30096927285194397,0.9546852707862854,0.9699267148971558,0.24524827301502228,0.9699108004570007,0.9707566499710083,0.24184083938598633,0.9707415699958801,0.9663460850715637,0.2594378888607025,0.9663278460502625,0.8556104302406311
tsn,0.9473010301589966,0.32465052604675293,0.9472724199295044,0.9819002151489258,0.1902623027563095,0.9818903207778931,0.9865722060203552,0.16387800872325897,0.9865652322769165,0.9809198975563049,0.19534669816493988,0.9809094071388245,0.6845430731773376
twi,0.9178512096405029,0.4053366482257843,0.9178063273429871,0.9677507877349854,0.2539658546447754,0.9677329063415527,0.9787945747375488,0.2059396654367447,0.9787836670875549,0.9606655240058899,0.2804795801639557,0.9606437087059021,0.7355378866195679
wol,0.948760449886322,0.3201236128807068,0.9487320184707642,0.9777800440788269,0.2108081579208374,0.9777677059173584,0.9823214411735535,0.1880348175764084,0.9823125600814819,0.9741902351379395,0.2271999567747116,0.974175751209259,0.6106509566307068
xho,0.9382829666137695,0.3513320982456207,0.9382496476173401,0.9871606826782227,0.16024625301361084,0.9871537685394287,0.9880383014678955,0.154672309756279,0.9880321025848389,0.9877649545669556,0.15643072128295898,0.9877585172653198,0.6751105785369873
yor,0.9559734463691711,0.2967379093170166,0.9559484124183655,0.9632971286773682,0.2709346413612366,0.9632768630981445,0.9742580056190491,0.22690080106258392,0.9742445349693298,0.9668145179748535,0.2576262056827545,0.9667957425117493,0.6562272906303406
zul,0.9509788751602173,0.31311655044555664,0.9509526491165161,0.9882180690765381,0.15350493788719177,0.9882118105888367,0.9934985041618347,0.11403192579746246,0.9934950470924377,0.9794980883598328,0.20249469578266144,0.9794869422912598,0.7677313089370728
