,LOC,ORG,PER,DATE,Mean
xho,0.9997702240943909,0.9997519850730896,0.9989137053489685,0.999756395816803,0.9997429500997456
zul,0.9996740221977234,0.9998149871826172,0.9988402724266052,0.999427318572998,0.9996231190519396
lug,0.9997772574424744,0.9997892379760742,0.9983102679252625,0.9993351101875305,0.9996079155822205
luo,0.9996986985206604,0.999567985534668,0.9990977048873901,0.9995296001434326,0.9995889367620929
tsn,0.9996262192726135,0.9996607899665833,0.9987223744392395,0.9995214343070984,0.999585550984526
hau,0.9997254014015198,0.9996510744094849,0.9979409575462341,0.9994040131568909,0.999561093601526
nya,0.9997466802597046,0.9997884035110474,0.9987980127334595,0.9990976452827454,0.9995296110514722
ibo,0.9995917677879333,0.9996076226234436,0.9984288215637207,0.9994460344314575,0.9995265209596921
wol,0.9994379281997681,0.9996583461761475,0.9989364147186279,0.9994611740112305,0.9995077232909358
kin,0.9997433423995972,0.999833881855011,0.9982239603996277,0.9990023374557495,0.9995009801746194
mos,0.9994902610778809,0.9996680617332458,0.998717725276947,0.9992026090621948,0.9994392141797184
swa,0.9995493292808533,0.9995782971382141,0.9987851977348328,0.9992131590843201,0.9994339533880645
twi,0.9994439482688904,0.999536395072937,0.9985705018043518,0.9993559718132019,0.9994282827657812
ewe,0.9994652271270752,0.9994859099388123,0.9985914826393127,0.9993442296981812,0.9994153123275906
bam,0.9991625547409058,0.9994825720787048,0.9986886978149414,0.999289870262146,0.9992994506374683
sna,0.9995756149291992,0.9997841119766235,0.9983977675437927,0.9984524846076965,0.9992536201196558
fon,0.9994521141052246,0.9994539022445679,0.9987941980361938,0.998242974281311,0.999044654416103
pcm,0.9991381168365479,0.9988566637039185,0.9988747239112854,0.9988671541213989,0.9989524242145563
bbj,0.9989866018295288,0.9991587400436401,0.9984332919120789,0.998676598072052,0.9989306985163221
yor,0.9986667633056641,0.9988117218017578,0.998117983341217,0.9980102777481079,0.9984888372078441
