,LOC,DATE,ORG,PER,Mean
xho,0.9775893092155457,0.9886720776557922,0.9838887453079224,0.9329525232315063,0.9825891907133768
kin,0.9811779856681824,0.977384090423584,0.9904710650444031,0.932015061378479,0.9822079606569345
nya,0.9833555221557617,0.975697934627533,0.9873137474060059,0.9477996826171875,0.9815818861400675
luo,0.980490505695343,0.982725203037262,0.9799515604972839,0.9493095874786377,0.9805558167417531
tsn,0.9767853617668152,0.9841057062149048,0.982072651386261,0.9472076296806335,0.9804559335933896
hau,0.9811081290245056,0.9777970314025879,0.9837924838066101,0.9316456317901611,0.980123567768908
wol,0.9830604195594788,0.9752874374389648,0.9823557734489441,0.9475774168968201,0.979720258024421
lug,0.967807948589325,0.9777616262435913,0.9935610294342041,0.9461092352867126,0.9791810523493709
ibo,0.9753741025924683,0.9834809303283691,0.9759201407432556,0.937462329864502,0.9776159335622011
zul,0.9645077586174011,0.9767502546310425,0.9928148984909058,0.9432061314582825,0.9774759862366624
sna,0.9726368188858032,0.9664244651794434,0.9855581521987915,0.9307299256324768,0.9741779766057733
twi,0.9711278080940247,0.9717317819595337,0.9812142848968506,0.9235804677009583,0.9738863967847949
mos,0.9729229211807251,0.958981990814209,0.9796211123466492,0.929885983467102,0.9698689473582691
bam,0.97287917137146,0.9732990860939026,0.9532350301742554,0.936146080493927,0.9659935365824561
yor,0.9667302370071411,0.9636062383651733,0.967883825302124,0.9577845931053162,0.9659429006376291
ewe,0.9486823081970215,0.9698011875152588,0.9761026501655579,0.9346580505371094,0.964386395112736
bbj,0.9522508382797241,0.963018536567688,0.9635076522827148,0.9289259314537048,0.9591094067716223
fon,0.9673203825950623,0.9508970975875854,0.9589868187904358,0.9239062666893005,0.9585143700046489
swa,0.9373472332954407,0.9469727873802185,0.9551312327384949,0.9384873509407043,0.9463578235758884
pcm,0.9357709884643555,0.9330894947052002,0.9579283595085144,0.931151807308197,0.9420879689727243
