,DATE,LOC,PER,ORG,Mean
ibo,0.9889772534370422,0.9704907536506653,0.9025356769561768,0.9797164797782898,0.9777231626696401
zul,0.9827567338943481,0.9800923466682434,0.8940443992614746,0.9715230464935303,0.9759401555185194
kin,0.9886752963066101,0.968116819858551,0.8898296356201172,0.977870762348175,0.9759250809619953
twi,0.9791436791419983,0.9684041738510132,0.9097952246665955,0.9848950505256653,0.9757228965883131
tsn,0.9868142008781433,0.9755098819732666,0.9064709544181824,0.9698894619941711,0.9755620848048817
luo,0.9834215641021729,0.9741391539573669,0.9152085781097412,0.9714594483375549,0.974752224885024
ewe,0.965282678604126,0.9793407320976257,0.9097321033477783,0.9819801449775696,0.9738253649179037
sna,0.9808021783828735,0.9774264097213745,0.9102513790130615,0.9609330296516418,0.9714226389860178
xho,0.9775041937828064,0.9734517931938171,0.8855012655258179,0.967576265335083,0.9705754394655104
nya,0.9765027761459351,0.9656740427017212,0.9068872332572937,0.9698060154914856,0.9690044847401705
wol,0.9791824817657471,0.9638379216194153,0.8951244354248047,0.9680991172790527,0.9684186608760388
fon,0.9560657143592834,0.9734975695610046,0.9003406763076782,0.9750236868858337,0.9664331899060832
mos,0.9546248912811279,0.9729664325714111,0.8885239958763123,0.9762624502182007,0.9658882122535211
bam,0.981508195400238,0.9761578440666199,0.8928515911102295,0.9421303868293762,0.9646832966185236
bbj,0.9593991637229919,0.9609031677246094,0.9009580016136169,0.9755039215087891,0.96359834191087
lug,0.9718741774559021,0.9649890065193176,0.8794171810150146,0.9597482085227966,0.9633002490192265
yor,0.9728773236274719,0.9503251910209656,0.8959468603134155,0.967735230922699,0.9618874981805876
hau,0.9451243281364441,0.945724606513977,0.9010235071182251,0.9732739329338074,0.9533132299200281
swa,0.9361737966537476,0.9647105932235718,0.9043299555778503,0.9454382061958313,0.9476198027660321
pcm,0.9152838587760925,0.9795250296592712,0.9153131246566772,0.9496152997016907,0.9472887136719443
