,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9116150140762329,0.4204404354095459,0.9115768671035767,0.9813265800476074,0.1932537704706192,0.9813230037689209,0.9554282426834106,0.2985690236091614,0.9554141163825989,,,,
bbj,0.9219622611999512,0.3950640857219696,0.9219236969947815,0.970366358757019,0.2434486448764801,0.970360279083252,0.9790980219841003,0.20446038246154785,0.9790924191474915,,,,
ewe,0.9268630146980286,0.38245803117752075,0.926826000213623,0.9847545027732849,0.174617201089859,0.9847493171691895,0.9864140748977661,0.16483919322490692,0.9864088296890259,,,,
fon,0.9210326671600342,0.39741039276123047,0.9209924340248108,0.9792678952217102,0.203628271818161,0.9792588353157043,0.9807530045509338,0.19619928300380707,0.9807477593421936,,,,
hau,0.9214658737182617,0.39631855487823486,0.921428918838501,0.9569497108459473,0.2934291958808899,0.9569305181503296,0.9792305827140808,0.20381075143814087,0.9792221784591675,,,,
ibo,0.9187296628952026,0.4031635522842407,0.9186933040618896,0.9774375557899475,0.21242715418338776,0.9774272441864014,0.9851621985435486,0.1722664088010788,0.9851568937301636,,,,
kin,0.9082067012786865,0.42847010493278503,0.9081612825393677,0.9759300351142883,0.21940836310386658,0.9759203195571899,0.9824219942092896,0.18749961256980896,0.9824151992797852,,,,
lug,0.9007851481437683,0.445454478263855,0.9007578492164612,0.9731316566467285,0.23181232810020447,0.9731239080429077,0.9709063172340393,0.24122031033039093,0.9708960652351379,,,,
luo,0.9310533404350281,0.3713398873806,0.9310202598571777,0.9795501828193665,0.20223651826381683,0.9795427918434143,0.9644933342933655,0.2664828896522522,0.9644795060157776,,,,
mos,0.9121997356414795,0.41904738545417786,0.9121581315994263,0.9786327481269836,0.20672401785850525,0.9786247611045837,0.9817866683006287,0.19085803627967834,0.9817795753479004,,,,
nya,0.923072338104248,0.392243891954422,0.9230387210845947,0.9716620445251465,0.23806755244731903,0.9716494083404541,0.9788069128990173,0.20587940514087677,0.9787989258766174,,,,
pcm,0.9315348267555237,0.3700416088104248,0.9315009713172913,0.98366379737854,0.1807553768157959,0.9836588501930237,0.9658195972442627,0.2614593803882599,0.96580570936203,,,,
sna,0.9273990392684937,0.3810536563396454,0.9273631572723389,0.9827919006347656,0.1855158656835556,0.9827850461006165,0.9722023606300354,0.23578687012195587,0.9721913933753967,,,,
swa,0.9200743436813354,0.3998141586780548,0.9200397729873657,0.9741576313972473,0.22734315693378448,0.9741485714912415,0.9601007699966431,0.2824861705303192,0.9600849151611328,,,,
tsn,0.9243800640106201,0.38889575004577637,0.9243428707122803,0.981130063533783,0.1942681521177292,0.9811213612556458,0.9790759086608887,0.20456916093826294,0.9790673851966858,,,,
twi,0.9285706877708435,0.3779664635658264,0.9285352826118469,0.9746184945106506,0.22530683875083923,0.974613606929779,0.9897602796554565,0.143106609582901,0.98975670337677,,,,
wol,0.9169983863830566,0.4074350595474243,0.916963517665863,0.9722031354904175,0.23578354716300964,0.9721971750259399,0.9771497845649719,0.21377620100975037,0.9771407246589661,,,,
xho,0.9091885089874268,0.4261724054813385,0.909142017364502,0.9770625829696655,0.21418488025665283,0.9770531058311462,0.9767720699310303,0.2155362218618393,0.9767631888389587,,,,
yor,0.9167879819869995,0.40795111656188965,0.9167541265487671,0.9599170088768005,0.28313642740249634,0.9599075317382812,0.976376473903656,0.21736404299736023,0.9763669371604919,,,,
zul,0.910589337348938,0.42287296056747437,0.9105451107025146,0.9841704964637756,0.17792946100234985,0.9841633439064026,0.9794837832450867,0.20256491005420685,0.9794756174087524,,,,
