,PER,ORG,DATE,LOC
bam,,0.9999949932098389,,0.9999850392341614
bbj,,0.9998550415039062,,0.9999867081642151
ewe,0.9999735951423645,0.9999968409538269,,
fon,0.9999640583992004,0.9999787211418152,,0.9998777508735657
hau,0.999889612197876,0.999989926815033,,0.9999809861183167
ibo,,0.9998723864555359,,0.9999909400939941
kin,0.999967098236084,0.9999982118606567,,0.9999913573265076
lug,0.999968945980072,0.9999905228614807,,
luo,0.9999884366989136,0.9999952912330627,,
mos,0.9999759793281555,0.9999885559082031,,
nya,0.9999750852584839,0.9999976754188538,,0.9999757409095764
pcm,0.9996123313903809,0.9999833703041077,,0.9999869465827942
sna,0.9999719262123108,0.9999874830245972,,0.9999877214431763
swa,0.9999664425849915,0.9999849200248718,,0.9999898672103882
tsn,,0.9999969601631165,,0.9999768733978271
twi,0.9999831318855286,0.9999956488609314,,0.9999675154685974
wol,0.9999610781669617,0.9999972581863403,,0.9999769330024719
xho,0.9999691843986511,,,0.9999307990074158
yor,,0.9999930262565613,,0.9999900460243225
zul,0.9999669790267944,,,0.99997878074646
