,ORG,LOC,DATE,PER
bam,0.9999953508377075,0.9999850392341614,,0.9999668598175049
bbj,0.9998550415039062,0.9999867081642151,,0.9999778270721436
ewe,0.9999989867210388,0.9999880194664001,,0.9999735951423645
fon,0.9999787211418152,0.9998777508735657,,0.9999676942825317
hau,0.999989926815033,0.9999809861183167,,0.999889612197876
ibo,0.9999447464942932,0.9999909400939941,,0.9999805092811584
kin,0.9999987483024597,0.9999913573265076,,0.999967098236084
lug,0.9999905228614807,0.9999892115592957,,0.999968945980072
luo,0.9999952912330627,0.9999858736991882,,0.9999787211418152
mos,0.9999885559082031,0.9999825358390808,,0.9999691247940063
nya,0.9999980330467224,0.9999757409095764,,0.9999781250953674
pcm,0.9999792575836182,0.9999869465827942,,0.9997028112411499
sna,0.9999915957450867,0.9999858140945435,,0.9999719262123108
swa,0.9999849200248718,0.9999898672103882,,0.9999664425849915
tsn,0.9999969601631165,0.999984860420227,,0.9999663829803467
twi,0.9999956488609314,0.9999675154685974,,0.9999831318855286
wol,0.999997079372406,0.9999769330024719,,0.9999610781669617
xho,0.999993622303009,0.9999307990074158,,0.9999691843986511
yor,0.9999930262565613,0.9999900460243225,,0.9999850988388062
zul,0.999992847442627,0.99997878074646,,0.9999669790267944
