,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9999938607215881,0.003548434702679515,0.9999937415122986,0.9999796152114868,0.006383730098605156,0.9999797344207764,0.9999875426292419,0.004982251673936844,0.9999875426292419,0.9999751448631287,0.007068627513945103,0.9999749660491943,0.4521491229534149
bbj,0.9999919533729553,0.0040285843424499035,0.9999918937683105,0.9999794363975525,0.006430834531784058,0.9999793171882629,0.9999971985816956,0.0023621986620128155,0.9999972581863403,0.9999960660934448,0.0028168128337711096,0.9999959468841553,0.8393434882164001
ewe,0.99998939037323,0.004599854350090027,0.99998939037323,0.9999752640724182,0.007031310815364122,0.999975323677063,0.9999979138374329,0.0020976548548787832,0.9999977350234985,0.9999910593032837,0.004246089141815901,0.9999909400939941,0.532793402671814
fon,0.9999797940254211,0.006364245433360338,0.9999797344207764,0.999964714050293,0.008409823291003704,0.9999645948410034,0.9999974966049194,0.0022773384116590023,0.9999973773956299,0.9999914169311523,0.004177330527454615,0.999991238117218,0.5560903549194336
hau,0.9999832510948181,0.005788710899651051,0.9999832510948181,0.9999570846557617,0.009277034550905228,0.9999569654464722,0.9999946355819702,0.003274020738899708,0.9999945759773254,0.9999894499778748,0.004626534879207611,0.9999892115592957,0.7118012309074402
ibo,0.9999791979789734,0.006474026944488287,0.9999790191650391,0.9999773502349854,0.006752409040927887,0.9999772906303406,0.9999977946281433,0.0020951339974999428,0.9999977946281433,0.9999985694885254,0.0017126243328675628,0.9999986290931702,0.5228562355041504
kin,0.9999850988388062,0.005479444283992052,0.9999849796295166,0.9999960660934448,0.0028298087418079376,0.9999959468841553,0.9999967813491821,0.0025514056906104088,0.9999966621398926,0.9999991059303284,0.0014266354264691472,0.9999989867210388,0.8716994524002075
lug,0.9999918341636658,0.004039984196424484,0.9999918341636658,0.9999839067459106,0.005673563573509455,0.9999839067459106,0.9999902248382568,0.004455975256860256,0.9999900460243225,0.9999951720237732,0.003150874050334096,0.9999949932098389,0.6112224459648132
luo,0.9999892711639404,0.004654492251574993,0.9999890923500061,0.999985933303833,0.00529118487611413,0.999985933303833,0.9999954700469971,0.0030371500179171562,0.9999952912330627,0.9999964237213135,0.002708200830966234,0.9999962449073792,0.47511208057403564
mos,0.999987006187439,0.005109509453177452,0.9999868869781494,0.9999634027481079,0.008556751534342766,0.9999634027481079,0.9999921917915344,0.003952590748667717,0.9999921321868896,0.9999949336051941,0.003205987624824047,0.9999949336051941,0.4919690489768982
nya,0.9999918341636658,0.004055785480886698,0.999991774559021,0.9999610185623169,0.008840855211019516,0.9999608993530273,0.9999955296516418,0.0030325313564389944,0.9999953508377075,0.9999948740005493,0.0032703662291169167,0.9999945759773254,0.3223121166229248
pcm,0.9999850392341614,0.0054984744638204575,0.999984860420227,0.9999669194221497,0.008131983689963818,0.9999668598175049,0.9999912977218628,0.004180224612355232,0.9999911785125732,0.999983012676239,0.005857584532350302,0.9999828338623047,0.5247012972831726
sna,0.9999741315841675,0.0072088283486664295,0.9999738931655884,0.9999796748161316,0.00637530442327261,0.9999797344207764,0.9999924898147583,0.0038863320369273424,0.9999924302101135,0.9999974966049194,0.002292219316586852,0.9999973177909851,0.4468722641468048
swa,0.9999855160713196,0.005395487882196903,0.99998539686203,0.9999982118606567,0.0019226028816774487,0.9999980926513672,0.9999895095825195,0.004599639680236578,0.9999893307685852,0.9999853372573853,0.005435505416244268,0.9999852776527405,0.7925307750701904
tsn,0.9999825358390808,0.005929265171289444,0.9999824166297913,0.9999836087226868,0.005726763512939215,0.9999836087226868,0.9999958276748657,0.002932015573605895,0.9999957084655762,0.9999957084655762,0.0029527475126087666,0.9999955892562866,0.8003987073898315
twi,0.9999902844429016,0.00442176079377532,0.9999901652336121,0.9999893307685852,0.004628566559404135,0.9999893307685852,0.9999969005584717,0.0025382598396390676,0.9999967217445374,0.9999962449073792,0.0027755536139011383,0.9999961853027344,0.8195062875747681
wol,0.9999892711639404,0.004635444842278957,0.9999892115592957,0.9999658465385437,0.008261929266154766,0.9999658465385437,0.9999863505363464,0.005232201423496008,0.9999862313270569,0.9999949932098389,0.0032040728256106377,0.9999948143959045,0.2935994565486908
xho,0.9999749064445496,0.007102066185325384,0.99997478723526,0.9999735355377197,0.007279290352016687,0.999973475933075,0.9999954104423523,0.003058235626667738,0.9999951720237732,0.999994158744812,0.003428459633141756,0.9999940991401672,0.6783252954483032
yor,0.9999842047691345,0.005624110344797373,0.999984085559845,0.999957263469696,0.009248784743249416,0.999957263469696,0.9999964237213135,0.0027016515377908945,0.9999963045120239,0.9999873638153076,0.005039988551288843,0.9999872446060181,0.41577884554862976
zul,0.9999718070030212,0.007511027157306671,0.9999716877937317,0.9999839067459106,0.005671076010912657,0.9999839663505554,0.9999947547912598,0.003261503065004945,0.999994695186615,0.9999966621398926,0.002634081058204174,0.999996542930603,0.8460234999656677
