,LOC,DATE,PER,ORG
bam,0.9999963045120239,,0.9999857544898987,0.9999991059303284
bbj,0.9999986290931702,,0.9999837875366211,0.9999756813049316
ewe,0.9999973773956299,,0.9999875426292419,0.9999983310699463
fon,0.9999892711639404,,0.999986469745636,0.9999942779541016
hau,0.9999841451644897,,0.9999408721923828,0.9999979138374329
ibo,0.9999966621398926,,0.9999880790710449,0.9999889731407166
kin,0.999998152256012,,0.9999865889549255,0.9999996423721313
lug,0.9999980926513672,,0.9999762177467346,0.9999898672103882
luo,0.9999957084655762,,0.999987006187439,0.9999916553497314
mos,0.9999901652336121,,0.9999841451644897,0.9999967217445374
nya,0.9999853372573853,,0.9999894499778748,0.999999463558197
pcm,0.9999959468841553,,0.9999715089797974,0.9999915361404419
sna,0.9999983906745911,,0.9999950528144836,0.9999929070472717
swa,0.999998927116394,,0.9999850392341614,0.9999925494194031
tsn,0.9999816417694092,,0.9999868273735046,0.9999977350234985
twi,0.9999957084655762,,0.99998939037323,0.9999967813491821
wol,0.9999887347221375,,0.9999773502349854,0.9999942183494568
xho,0.9999916553497314,,0.9999897480010986,0.9999929070472717
yor,0.9999973177909851,,,0.9999975562095642
zul,0.999993085861206,,0.9999908208847046,0.9999958276748657
