,PER,LOC,ORG,DATE,SWD_mean
bam,0.014626496669279732,0.008095857951047947,0.00806306556933123,,0.010261806729886302
bbj,0.01577590009492269,0.00852180575498096,0.00627843614165613,,0.010192047330519927
ewe,0.013058086497949262,0.00872464751591906,0.005910131248583639,,0.009230955087483986
fon,0.014236794495445793,0.008768582043558126,0.006796683188440511,,0.009934019909148143
hau,0.016173979245650116,0.009939935192051053,0.006428597844660544,,0.010847504094120572
ibo,0.013751828621025197,0.007250815945099021,0.007047142427381914,,0.009349928997835377
kin,0.014512490667584643,0.009061655416644498,0.008302872382955684,,0.010625672822394941
lug,0.014918380005838117,0.007887114552204366,0.008243847651101532,,0.010349780736381339
luo,0.013159426927813911,0.007439038542997878,0.009033989766976447,,0.009877485079262746
mos,0.01411203512998327,0.008357304590390413,0.006555304003995843,,0.009674881241456509
nya,0.012598439952853369,0.008218598307394132,0.006533449578000727,,0.009116829279416075
pcm,0.015008284835857921,0.008398342193686403,0.008349536672994873,,0.0105853879008464
sna,0.015065120823237521,0.007130085717562906,0.007210446522549319,,0.009801884354449916
swa,0.014182277696818346,0.00867378070279301,0.009203303447975486,,0.010686453949195615
tsn,0.01388280820719956,0.007912205840966635,0.0070168966462915705,,0.009603970231485922
twi,0.012665094944168231,0.010458005365308054,0.0058688871995400405,,0.009663995836338776
wol,0.014115700853835733,0.007965955077452236,0.007403026925658196,,0.009828227618982055
xho,0.014528479047839937,0.00880543168091208,0.007082956135036511,,0.010138955621262843
yor,0.014274655311965034,0.010069273466342565,0.007738673723906686,,0.01069420083407143
zul,0.014362204529788869,0.008765071027482918,0.007786225736253982,,0.010304500431175256
