,PER,ORG,LOC,DATE
bam,0.8773013949394226,0.971356213092804,0.9731303453445435,
bbj,0.9020524024963379,0.983605146408081,0.9598222970962524,
ewe,0.9047154784202576,0.9732469320297241,0.9683751463890076,
fon,0.8998854756355286,0.9821316003799438,0.9683626294136047,
hau,0.9035287499427795,0.9774033427238464,0.9585928916931152,
ibo,,0.9824705719947815,0.9672115445137024,
kin,0.8939929604530334,0.9645979404449463,0.9667316675186157,
lug,0.895740807056427,0.9632107615470886,,
luo,0.9143196940422058,0.9564007520675659,,
mos,0.8955320119857788,0.9793750047683716,0.971394956111908,
nya,0.9092393517494202,0.9735063314437866,0.9667338728904724,
pcm,0.9136220812797546,0.947432816028595,0.9721887111663818,
sna,0.9096788763999939,0.974949061870575,0.979633092880249,
swa,0.9080609679222107,0.9526271820068359,0.9613231420516968,
tsn,,0.9743158221244812,0.9637277126312256,
twi,0.9098629355430603,0.9867995977401733,0.9734630584716797,
wol,0.8979240655899048,0.9713162183761597,0.9648975133895874,
xho,0.8954916000366211,0.9668172597885132,0.9691594839096069,
yor,,0.9751652479171753,0.9480774998664856,
zul,0.8909977674484253,0.9833148121833801,0.9702521562576294,
