,LOC,DATE,PER,ORG
bam,0.9260858297348022,0.957958459854126,0.8328862190246582,0.9410725235939026
bbj,0.8984792828559875,0.9465115070343018,0.8562350273132324,0.964155375957489
ewe,0.936509370803833,0.9513103365898132,0.8613507151603699,0.971034586429596
fon,0.9121671319007874,0.9387718439102173,0.8638710975646973,0.9649585485458374
hau,0.8797803521156311,0.9395366311073303,0.8458169102668762,0.9638903141021729
ibo,0.907238245010376,0.9796482920646667,0.8618861436843872,0.9705266952514648
kin,0.9335920810699463,0.9736213088035583,0.8387470841407776,0.9777743220329285
lug,0.9590834975242615,0.9795374870300293,0.8398760557174683,0.9521822333335876
luo,0.9522908926010132,0.9669967889785767,0.8609016537666321,0.9683679342269897
mos,0.9207550287246704,0.9331150054931641,0.8619993925094604,0.959615170955658
nya,0.9200257062911987,0.9656224250793457,0.8599506616592407,0.9738448262214661
pcm,0.9297158718109131,0.8757970333099365,0.849439799785614,0.9288867115974426
sna,0.9253137111663818,0.9808907508850098,0.8510574102401733,0.964006245136261
swa,0.9372172951698303,0.8988569378852844,0.8520815968513489,0.9212712645530701
tsn,0.9320909976959229,0.9774186611175537,0.8589383363723755,0.9699575901031494
twi,0.9518240690231323,0.9612826704978943,0.8553094267845154,0.9783504009246826
wol,0.9020012617111206,0.9733270406723022,0.8512427806854248,0.9590898156166077
xho,0.9102078080177307,0.9574993848800659,0.8550952672958374,0.9639642238616943
yor,0.8951297998428345,0.9515762329101562,0.8400073051452637,0.9466094970703125
zul,0.9325435757637024,0.9706489443778992,0.8597321510314941,0.9734205007553101
