,ORG,LOC,DATE,PER
bam,0.9076745510101318,0.9049515724182129,0.9395570755004883,0.726272463798523
bbj,0.9479835629463196,0.8708771467208862,0.920162558555603,0.7566639184951782
ewe,0.9576832056045532,0.9204566478729248,0.915763258934021,0.7709226608276367
fon,0.9476107954978943,0.8497567176818848,0.8893868327140808,0.7538489699363708
hau,0.926001787185669,0.8057731986045837,0.8938712477684021,0.7570360898971558
ibo,0.9702937006950378,0.8987023234367371,0.9673295021057129,0.7580654621124268
kin,0.9694943428039551,0.937177300453186,0.9686117172241211,0.7289273142814636
lug,0.8941530585289001,0.9471939206123352,0.9448957443237305,0.762414276599884
luo,0.9617357850074768,0.9387620687484741,0.95058274269104,0.7752509117126465
mos,0.9514290690422058,0.8902816772460938,0.8849036693572998,0.7553577423095703
nya,0.9662278890609741,0.9224197864532471,0.9480775594711304,0.7581383585929871
pcm,0.9169467091560364,0.9337719082832336,0.8682230710983276,0.7716451287269592
sna,0.9394567608833313,0.8979933857917786,0.9741360545158386,0.7567685842514038
swa,0.9281421899795532,0.9611853361129761,0.8835747838020325,0.7461240887641907
tsn,0.9575693607330322,0.9156486988067627,0.9708777666091919,0.7504211664199829
twi,0.9736552238464355,0.9392086267471313,0.9524699449539185,0.7646148800849915
wol,0.9385926127433777,0.8871514797210693,0.9546175003051758,0.7398979663848877
xho,0.9453305602073669,0.8850616216659546,0.9653710722923279,0.7405710220336914
yor,0.949026882648468,0.868084728717804,0.9318366050720215,0.7368909120559692
zul,0.9572328329086304,0.9111995697021484,0.9605145454406738,0.7380892634391785
