,DATE,PER,ORG,LOC,Mean
twi,0.9790023565292358,0.896130383014679,0.9877176880836487,0.9649099111557007,0.9751040215616102
kin,0.9871410131454468,0.8783243298530579,0.9801625609397888,0.9606574773788452,0.9734503239780278
luo,0.9804129600524902,0.8931666016578674,0.9766282439231873,0.9659292697906494,0.9722155200970637
tsn,0.9847317337989807,0.896415114402771,0.9773306846618652,0.9523657560348511,0.9695264232623113
zul,0.9779394268989563,0.891156792640686,0.9825866222381592,0.951315701007843,0.9685500953104589
lug,0.967207133769989,0.8841018676757812,0.9650518298149109,0.9736202955245972,0.9664309767933635
sna,0.9856420159339905,0.8895204067230225,0.9753913283348083,0.9424715042114258,0.9658008055253462
ewe,0.9647411704063416,0.8996355533599854,0.9798092246055603,0.9544632434844971,0.9646053515471421
ibo,0.987517774105072,0.8922615051269531,0.977775514125824,0.9307823777198792,0.963459930636666
nya,0.9760785698890686,0.8962855935096741,0.9753535389900208,0.9386212825775146,0.9616091684861616
xho,0.9738626480102539,0.8908854722976685,0.9730898141860962,0.937641978263855,0.9596965189103956
fon,0.9598963260650635,0.8939110040664673,0.9779104590415955,0.9360655546188354,0.9562939026138999
mos,0.9528353810310364,0.8950669765472412,0.9793415665626526,0.9409716129302979,0.9560889346258981
wol,0.9763779044151306,0.8880884051322937,0.97125244140625,0.9254975318908691,0.9559009578320887
yor,0.9708245396614075,0.8828986883163452,0.9707126021385193,0.9253005981445312,0.9537239074707031
bam,0.9696320295333862,0.8723599314689636,0.9508610367774963,0.944605827331543,0.9528856130389424
bbj,0.9620578289031982,0.8928906917572021,0.9758877158164978,0.9199790954589844,0.9510895764672911
hau,0.9399054050445557,0.8959602117538452,0.9725143909454346,0.9227446913719177,0.9437796442539661
swa,0.9050736427307129,0.8902627229690552,0.944640040397644,0.9554462432861328,0.9338899169649396
pcm,0.8963621258735657,0.8905839323997498,0.9398227334022522,0.9538717865943909,0.9289945975526587
