,ORG,PER,LOC,DATE,Mean
twi,0.9922464489936829,0.9109289646148682,0.9784039258956909,0.9822942018508911,0.9828759198095284
kin,0.9875907897949219,0.8939929604530334,0.9785377383232117,0.9878278374671936,0.982874491245918
sna,0.9835321307182312,0.9037127494812012,0.9750025868415833,0.9892890453338623,0.9810609568178265
zul,0.9870060682296753,0.8909977674484253,0.9768027067184448,0.984374463558197,0.9809291191350401
luo,0.9786040782928467,0.9025078415870667,0.9741662740707397,0.9868553876876831,0.9783582387406842
tsn,0.9780802130699158,0.9089968204498291,0.9710836410522461,0.9859274625778198,0.9770036359238469
xho,0.9787986874580383,0.8967099785804749,0.9698367118835449,0.9862568378448486,0.9766976587912616
ibo,0.9839973449707031,0.8974118828773499,0.9615442156791687,0.989268958568573,0.9766847164023156
ewe,0.9829108715057373,0.9041935205459595,0.9751287698745728,0.9706859588623047,0.9748291540769191
nya,0.986872136592865,0.9092393517494202,0.9642656445503235,0.9768535494804382,0.9746881345518275
bam,0.9708576202392578,0.8881083130836487,0.971493661403656,0.9852772951126099,0.9741552534446217
wol,0.9776880145072937,0.8958073258399963,0.9603880643844604,0.9850457906723022,0.9728334343511295
lug,0.9763816595077515,0.895740807056427,0.9667081236839294,0.9728667140007019,0.9704905051031923
yor,0.9785976409912109,0.898752748966217,0.958997905254364,0.9771342873573303,0.9701486923336203
mos,0.9842093586921692,0.902872622013092,0.9700484871864319,0.9580734968185425,0.9694456536006304
fon,0.9838693737983704,0.9064410328865051,0.9620814323425293,0.9649681448936462,0.9690540565384759
bbj,0.9781785607337952,0.9034041166305542,0.9577246308326721,0.9665087461471558,0.9662144394481883
swa,0.9750792980194092,0.9123488068580627,0.9686040282249451,0.9399340152740479,0.9602478006306816
hau,0.9811609387397766,0.910236120223999,0.9484748244285583,0.9468974471092224,0.9578912998336593
pcm,0.9638298153877258,0.913601279258728,0.9720398783683777,0.923163652420044,0.9522383735070821
