,LOC,DATE,ORG,PER
bam,0.9785986542701721,,0.965062141418457,0.9070959687232971
bbj,0.959282636642456,,0.9761781692504883,0.9204196929931641
ewe,0.9789434671401978,,0.9849295616149902,0.9339713454246521
fon,0.9742409586906433,,0.9821254014968872,0.9237889647483826
hau,0.9663839340209961,,0.9735793471336365,0.9274283051490784
ibo,0.9746149778366089,,0.9835879802703857,0.9151781797409058
kin,0.9830330610275269,,0.9871327877044678,0.9160482883453369
lug,0.9758481383323669,,0.9751174449920654,0.9152539372444153
luo,0.9833039045333862,,0.9722276926040649,0.9185848236083984
mos,0.9798932075500488,,0.9860773086547852,0.9272335767745972
nya,0.9808103442192078,,0.9834344983100891,0.9276036620140076
pcm,0.9717467427253723,,0.9593266844749451,0.9282575845718384
sna,0.9829069375991821,,0.9841939806938171,0.9267190098762512
swa,0.961675763130188,,0.969359278678894,0.9335004091262817
tsn,0.9775049090385437,,0.9818527102470398,0.929122269153595
twi,0.9771748185157776,,0.9895384311676025,0.9280930161476135
wol,0.9724776148796082,,0.9825933575630188,0.9105608463287354
xho,0.9738963842391968,,0.9785689115524292,0.9313638806343079
yor,0.9595615863800049,,0.9798521995544434,0.925838053226471
zul,0.9804731011390686,,0.9841609597206116,0.9270538687705994
