,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.8734011650085449,0.5031877756118774,0.8733559250831604,0.9420731067657471,0.34037303924560547,0.9420586824417114,0.9608240723609924,0.27991411089897156,0.960809588432312,0.9678043723106384,0.2537544369697571,0.9677976965904236,0.7041385173797607
bbj,0.8928906917572021,0.4628376066684723,0.8928525447845459,0.922920286655426,0.3926311731338501,0.9228989481925964,0.9741529226303101,0.2273639440536499,0.9741449356079102,0.9622258543968201,0.2748601734638214,0.9622085094451904,0.8061898350715637
ewe,0.9008587598800659,0.4452892541885376,0.9008233547210693,0.9544632434844971,0.30178356170654297,0.9544497132301331,0.9787501692771912,0.20615439116954803,0.978742241859436,0.9664726853370667,0.2589496374130249,0.9664601683616638,0.7054056525230408
fon,0.8958346843719482,0.45643267035484314,0.8957976698875427,0.9290592670440674,0.37667161226272583,0.9290415644645691,0.9779104590415955,0.21018879115581512,0.9779024720191956,0.9598963260650635,0.2832091748714447,0.9598766565322876,0.6528903245925903
hau,0.8959602117538452,0.4561574161052704,0.8959242105484009,0.9171331524848938,0.4071041941642761,0.9171087145805359,0.9719761610031128,0.23674418032169342,0.971966028213501,0.9484971165657043,0.320945143699646,0.9484869837760925,0.748740553855896
ibo,0.8922615051269531,0.46419504284858704,0.892223060131073,0.9427854418754578,0.33827364444732666,0.9427693486213684,0.9842574596405029,0.17743973433971405,0.9842521548271179,0.9863152503967285,0.1654369980096817,0.986308753490448,0.6173083782196045
kin,0.8791375756263733,0.4916553199291229,0.879095196723938,0.9635972380638123,0.2698249816894531,0.963585615158081,0.9842918515205383,0.17724718153476715,0.984285831451416,0.9821717739105225,0.18882900476455688,0.98216712474823,0.8057191967964172
lug,0.8941028714179993,0.4602109491825104,0.8940656781196594,0.9736202955245972,0.2296939194202423,0.9736120104789734,0.9549994468688965,0.3000021278858185,0.9549859166145325,0.967207133769989,0.2560971975326538,0.9671993851661682,0.6738289594650269
luo,0.8931666016578674,0.46224111318588257,0.8931293487548828,0.9659292697906494,0.26103904843330383,0.9659185409545898,0.9766282439231873,0.2162027657032013,0.976620614528656,0.9809941053390503,0.19496536254882812,0.9809865951538086,0.7693690657615662
mos,0.8974763751029968,0.4528214931488037,0.8974411487579346,0.9421597719192505,0.34011825919151306,0.9421483278274536,0.980297863483429,0.19850489497184753,0.9802907705307007,0.9545856714248657,0.3013779819011688,0.9545688629150391,0.5571354627609253
nya,0.8924485445022583,0.4637919068336487,0.8924102783203125,0.9566463232040405,0.29446133971214294,0.956635057926178,0.9840512275695801,0.17859919369220734,0.9840452075004578,0.9794479608535767,0.2027411162853241,0.9794440865516663,0.6705858111381531
pcm,0.891603410243988,0.4656106233596802,0.8915652632713318,0.9576891660690308,0.29089802503585815,0.9576757550239563,0.9487103223800659,0.32028037309646606,0.948699414730072,0.9103748202323914,0.4233797490596771,0.9103925228118896,0.7223812937736511
sna,0.8895896673202515,0.469915509223938,0.8895506858825684,0.9424715042114258,0.33920085430145264,0.9424540996551514,0.9832360148429871,0.18310682475566864,0.9832323789596558,0.9868950247764587,0.1618950068950653,0.9868909120559692,0.735481858253479
swa,0.8902627229690552,0.4684813618659973,0.8902249336242676,0.963423490524292,0.2704683244228363,0.9634146690368652,0.9591924548149109,0.28568387031555176,0.9591980576515198,0.9203428030014038,0.3991420865058899,0.9203584790229797,0.7816678881645203
tsn,0.896415114402771,0.45515936613082886,0.8963785171508789,0.9523657560348511,0.30865615606307983,0.9523508548736572,0.9718064665794373,0.2374599725008011,0.9718081951141357,0.9847317337989807,0.17474710941314697,0.9847261309623718,0.6965670585632324
twi,0.896130383014679,0.4557844400405884,0.8960933089256287,0.9666902422904968,0.2581072449684143,0.9666805863380432,0.9885539412498474,0.15130120515823364,0.9885497093200684,0.9797480702400208,0.20125602185726166,0.9797389507293701,0.711482584476471
wol,0.8849685788154602,0.47964850068092346,0.8849281072616577,0.9357424378395081,0.3584904074668884,0.9357233643531799,0.9700767993927002,0.2446352243423462,0.9700676202774048,0.9806097745895386,0.1969279646873474,0.9806011319160461,0.616897463798523
xho,0.8951806426048279,0.45786336064338684,0.895143985748291,0.93710857629776,0.3546587824821472,0.9370879530906677,0.9730898141860962,0.2319924235343933,0.9730818271636963,0.9811057448387146,0.19439223408699036,0.9811007976531982,0.618757963180542
yor,0.8828986883163452,0.4839448034763336,0.8828572034835815,0.9253005981445312,0.38652145862579346,0.9252762794494629,0.9817984104156494,0.19079641997814178,0.981791615486145,0.9708245396614075,0.24155926704406738,0.9708147048950195,0.7668740749359131
zul,0.893828809261322,0.4608065187931061,0.8937910199165344,0.9491137266159058,0.31901776790618896,0.9490972757339478,0.9825866222381592,0.18661929666996002,0.9825806617736816,0.9807543754577637,0.1961919218301773,0.9807518720626831,0.7236025929450989
