,ORG,DATE,LOC,PER,Mean
kin,0.9857931733131409,0.9817653894424438,0.9639859795570374,0.8961846232414246,0.9755933397735645
twi,0.9890506267547607,0.9752628207206726,0.9654353260993958,0.9035356640815735,0.9751506253005633
luo,0.9783915877342224,0.9801573753356934,0.965507984161377,0.9025006294250488,0.9732702565349005
nya,0.9849302768707275,0.9806466102600098,0.956034779548645,0.8977741003036499,0.9723784682018305
ibo,0.9856762290000916,0.9869743585586548,0.9446874856948853,0.9041516780853271,0.9711069195878272
zul,0.9837251305580139,0.9827805757522583,0.9502079486846924,0.9016527533531189,0.9708538628091999
sna,0.9840291738510132,0.9879175424575806,0.9437562823295593,0.8998105525970459,0.9704874613705803
tsn,0.9752890467643738,0.9856838583946228,0.9515642523765564,0.902899980545044,0.9695134497935476
ewe,0.9807286858558655,0.9658955335617065,0.95433509349823,0.9071093201637268,0.9658123765116423
lug,0.9570815563201904,0.9670528769493103,0.972014844417572,0.8996268510818481,0.9640937544941123
xho,0.9772266149520874,0.9810724258422852,0.9376024007797241,0.901381254196167,0.9640471623613943
wol,0.9768717288970947,0.9800757765769958,0.939116895198822,0.8957127332687378,0.9639892694996852
mos,0.9804960489273071,0.9564512968063354,0.9447625875473022,0.9066280126571655,0.9595122921700571
yor,0.9815866351127625,0.9716482162475586,0.9273495674133301,0.8912278413772583,0.9588425128288518
bam,0.9630717039108276,0.9672576189041138,0.9433568120002747,0.8812897801399231,0.9563933077201344
fon,0.9795939922332764,0.9627476334571838,0.9299927353858948,0.9011378884315491,0.9563407301902771
bbj,0.979339599609375,0.9632818698883057,0.9293159246444702,0.904273509979248,0.9562724852094463
swa,0.9639605283737183,0.9297381639480591,0.9646984934806824,0.8961524367332458,0.951688343792959
pcm,0.9657003283500671,0.923334538936615,0.9564219117164612,0.8991342782974243,0.9475179201637218
hau,0.9714427590370178,0.9561089277267456,0.9074314832687378,0.9044205546379089,0.9441988246113646
