,DATE,PER,LOC,ORG,Mean
sna,,0.9048367738723755,0.9792404770851135,0.9887091517448425,0.9821200165897608
twi,,0.9186455607414246,0.9755657315254211,0.9908769726753235,0.981707856990397
kin,,0.8960278630256653,0.9787760972976685,0.9882665276527405,0.9814706847537309
luo,,0.8986151814460754,0.9799971580505371,0.9816743731498718,0.9789087206590921
nya,,0.906909704208374,0.9759287238121033,0.9850297570228577,0.9787549544125795
zul,,0.9167593121528625,0.9751981496810913,0.984812319278717,0.9785229081753641
mos,,0.915273904800415,0.9765724539756775,0.9823806285858154,0.9779717919882387
ibo,,0.9009309411048889,0.9730708599090576,0.9828875064849854,0.9761733650229871
ewe,,0.9210061430931091,0.9724376201629639,0.9817109704017639,0.9757601979654282
tsn,,0.9124351739883423,0.9702627062797546,0.9812648892402649,0.9742795331403613
fon,,0.9125689268112183,0.968414306640625,0.9796385169029236,0.9725860019680113
yor,,0.9029932022094727,0.9644045829772949,0.9818186163902283,0.971468199742958
xho,,0.9040411710739136,0.9694032669067383,0.9751573801040649,0.9706809683702886
wol,,0.9019694328308105,0.9665677547454834,0.9775606393814087,0.9704213510267437
lug,,0.9082611799240112,0.971566379070282,0.9712203145027161,0.9699136866256595
swa,,0.9135801792144775,0.9595070481300354,0.9748256802558899,0.9659104379825294
bam,,0.8912234306335449,0.9738421440124512,0.9606626629829407,0.9654704744461924
bbj,,0.9034240245819092,0.9582226872444153,0.9742211699485779,0.9647501027211547
pcm,,0.909257709980011,0.966280460357666,0.9601403474807739,0.9619458876550198
hau,,0.9167953133583069,0.9481857419013977,0.9746437072753906,0.960368957137689
