,ORG,PER,DATE,LOC
bam,0.9999791383743286,0.9999493956565857,,0.9999894499778748
bbj,0.9999833106994629,0.9999509453773499,,0.9999821782112122
ewe,0.9999802112579346,0.9999424815177917,,0.9999898672103882
fon,0.9999812245368958,0.9999449253082275,,0.9999848008155823
hau,0.9999818801879883,0.999929666519165,,0.999983549118042
ibo,0.9999744296073914,0.9999552965164185,,0.9999825954437256
kin,0.999972403049469,0.9999565482139587,,0.9999850392341614
lug,0.999981164932251,0.9999566078186035,,0.9999849200248718
luo,0.9999698996543884,0.9999590516090393,,0.9999873638153076
mos,0.9999819397926331,0.9999392628669739,,0.9999856352806091
nya,0.999965488910675,0.9999605417251587,,0.9999904632568359
pcm,0.999971330165863,0.9999548196792603,,0.9999814629554749
sna,0.999987781047821,0.9999592304229736,,0.99998939037323
swa,0.9999651908874512,0.9999459981918335,,0.9999849796295166
tsn,0.9999758005142212,0.9999608993530273,,0.9999869465827942
twi,0.9999874830245972,0.9999383687973022,,0.9999892711639404
wol,0.9999712109565735,0.9999536871910095,,0.9999902248382568
xho,0.9999879598617554,0.999953031539917,,0.9999802708625793
yor,0.999987781047821,0.9999594688415527,,0.9999808073043823
zul,0.9999852776527405,0.999961256980896,,0.9999805092811584
