,ORG,PER,DATE,LOC,Mean
kin,0.9999926090240479,0.9999900460243225,0.9999967217445374,0.9999974370002747,0.9999954452762356
zul,0.9999939203262329,0.9999867081642151,0.9999933242797852,0.999996542930603,0.9999943909707008
xho,0.9999932646751404,0.9999852776527405,0.9999959468841553,0.9999923706054688,0.9999936377847349
twi,0.9999914765357971,0.9999863505363464,0.9999932050704956,0.9999945759773254,0.9999929109177033
lug,0.9999927282333374,0.9999871850013733,0.9999935030937195,0.9999926686286926,0.9999928164791752
sna,0.9999956488609314,0.9999871253967285,0.9999953508377075,0.9999871850013733,0.9999925827051138
hau,0.9999903440475464,0.9999898672103882,0.9999908804893494,0.9999945163726807,0.9999918604825998
ibo,0.9999837875366211,0.9999827146530151,0.999995231628418,0.9999942183494568,0.9999908619112783
mos,0.9999908804893494,0.9999808669090271,0.999988853931427,0.9999931454658508,0.9999906978049835
bam,0.9999896287918091,0.9999863505363464,0.9999887347221375,0.9999936819076538,0.9999905693066584
wol,0.9999815821647644,0.9999839663505554,0.9999942183494568,0.9999963641166687,0.9999905460840696
yor,0.9999885559082031,0.99998539686203,0.9999914169311523,0.9999918937683105,0.9999904864794248
bbj,0.9999926686286926,0.9999793767929077,0.9999899864196777,0.9999895095825195,0.99999042687478
nya,0.9999788403511047,0.9999901652336121,0.9999905228614807,0.9999974370002747,0.9999889653998536
tsn,0.9999783635139465,0.999988317489624,0.9999925494194031,0.9999960064888,0.9999889561108181
ewe,0.99998939037323,0.9999825358390808,0.9999816417694092,0.9999956488609314,0.9999887285294471
luo,0.9999774694442749,0.9999895691871643,0.9999955296516418,0.9999929666519165,0.9999886789879242
fon,0.999989926815033,0.9999831318855286,0.999980092048645,0.9999914169311523,0.9999870410213223
swa,0.9999694228172302,0.9999884366989136,0.9999679923057556,0.9999971985816956,0.9999784703378554
pcm,0.9999668002128601,0.9999900460243225,0.9999428987503052,0.9999930262565613,0.9999681587343092
