,LOC,ORG,PER,DATE,Mean
kin,0.9999925494194031,0.9999763369560242,0.9999865889549255,,0.9999845257172217
twi,0.999987006187439,0.9999710321426392,0.9999732971191406,,0.9999787990863507
hau,0.9999887943267822,0.9999638795852661,0.9999748468399048,,0.9999762796438657
bam,0.9999838471412659,0.999967634677887,,,0.9999757409095764
lug,,0.9999724626541138,0.9999821782112122,,0.99997318232501
wol,0.9999868273735046,0.9999588131904602,0.9999793767929077,,0.9999730724554795
zul,0.9999714493751526,,0.9999865889549255,,0.9999725708255062
nya,0.9999905824661255,0.9999486207962036,0.9999859929084778,,0.9999702320649073
ewe,,0.9999694228172302,0.9999783635139465,,0.9999700850910611
bbj,0.9999767541885376,0.9999573230743408,0.9999757409095764,,0.9999673733344445
sna,0.9999873042106628,0.9999431371688843,0.999980092048645,,0.9999657926651148
tsn,0.9999702572822571,0.9999544024467468,,,0.999962329864502
swa,0.999975860118866,0.9999457001686096,0.9999880194664001,,0.999961827809994
xho,0.9999598860740662,,0.9999781847000122,,0.9999612415278399
mos,0.999981164932251,0.9999349117279053,0.9999774098396301,,0.9999587833881378
ibo,0.9999845027923584,0.9999300837516785,,,0.9999572932720184
pcm,0.9999708533287048,0.9999305009841919,0.999983012676239,,0.9999519208302865
fon,0.9999698996543884,0.9999227523803711,0.9999759793281555,,0.9999474665293326
yor,0.9999396204948425,0.99994957447052,,,0.9999445974826813
luo,,0.9999318718910217,0.9999727010726929,,0.9999348962748492
