,DATE,LOC,ORG,PER,Mean
lug,0.9999560117721558,0.99995356798172,0.9999876022338867,0.9997584819793701,0.9999616636949427
sna,0.9999576807022095,0.999958336353302,0.9999597668647766,0.9996883273124695,0.9999532952807308
kin,0.999957799911499,0.9999467134475708,0.9999609589576721,0.9997672438621521,0.9999514728589775
pcm,0.9999304413795471,0.9999525547027588,0.9999629259109497,0.9997391700744629,0.9999445333979489
nya,0.9999608993530273,0.999880850315094,0.9999912977218628,0.9996720552444458,0.9999390100341996
xho,0.9999544024467468,0.9999266266822815,0.999954104423523,0.9994387030601501,0.9999351162536472
tsn,0.9999454021453857,0.9999058246612549,0.9999480843544006,0.9997190237045288,0.9999289060729781
swa,0.9998947978019714,0.9998983144760132,0.9999170899391174,0.9996806979179382,0.9998990340170517
luo,0.9999024271965027,0.9998342394828796,0.9999451637268066,0.999541699886322,0.9998870367318197
zul,0.9998311996459961,0.9998515844345093,0.9999681711196899,0.9995770454406738,0.9998776398453058
bbj,0.9998493194580078,0.999844491481781,0.9999412298202515,0.9997696876525879,0.9998762163461423
hau,0.9997844696044922,0.9998854398727417,0.9999130964279175,0.9998811483383179,0.9998613969952452
twi,0.9997977614402771,0.9998729825019836,0.9998903274536133,0.9996698498725891,0.9998500857477873
wol,0.9998272657394409,0.9997197985649109,0.999936580657959,0.999569833278656,0.999822821882036
mos,0.9996457695960999,0.999881386756897,0.9999043345451355,0.9995158314704895,0.9998047192112293
ibo,0.999799370765686,0.9997838735580444,0.9998334646224976,0.9996028542518616,0.9998015948370391
yor,0.9996934533119202,0.9997950792312622,0.9999130964279175,0.9995471239089966,0.9997955739887712
ewe,0.9997262954711914,0.9997957348823547,0.999824583530426,0.9994243383407593,0.9997751876419666
fon,0.9995942711830139,0.9995700716972351,0.9997764229774475,0.9991475343704224,0.9996371300391902
bam,0.9995253086090088,0.9995117783546448,0.9997134208679199,0.9994114637374878,0.9995801292992885
