,LOC,PER,DATE,ORG
bam,0.9999963045120239,0.9999868869781494,0.9999985098838806,0.9999982714653015
bbj,0.9999988079071045,0.9999837875366211,0.9999895095825195,0.9999889731407166
ewe,0.9999973773956299,0.9999871850013733,0.9999706149101257,0.9999983310699463
fon,0.9999922513961792,0.9999901056289673,0.9999977946281433,0.9999983310699463
hau,0.9999855756759644,0.9999853372573853,0.9999942779541016,0.9999974966049194
ibo,0.9999969005584717,0.9999909996986389,0.9999960064888,0.9999942183494568
kin,0.9999984502792358,0.9999865889549255,0.9999986886978149,0.9999995231628418
lug,0.9999986290931702,0.9999831914901733,0.9999986886978149,0.9999924898147583
luo,0.9999967217445374,0.9999883770942688,0.9999939799308777,0.9999988675117493
mos,0.9999911785125732,0.9999832510948181,0.9999983906745911,0.999998152256012
nya,0.9999853372573853,0.9999908804893494,0.9999946355819702,0.9999977946281433
pcm,0.9999948740005493,0.999985933303833,0.9999986290931702,0.9999959468841553
sna,0.9999983310699463,0.9999861717224121,0.9999973773956299,0.9999989867210388
swa,0.9999951720237732,0.9999865293502808,0.9999861121177673,0.9999969005584717
tsn,0.9999902844429016,0.9999837875366211,0.9999977946281433,0.9999995231628418
twi,0.9999982118606567,0.999992311000824,0.999992847442627,0.9999995231628418
wol,0.9999907612800598,0.9999789595603943,0.9999985098838806,0.9999949932098389
xho,0.9999957084655762,0.9999833106994629,0.9999980330467224,0.9999968409538269
yor,0.9999963045120239,0.9999963045120239,0.9999977350234985,0.9999992847442627
zul,0.9999937415122986,0.9999860525131226,0.999997079372406,0.9999985098838806
