,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.999949038028717,0.010099603794515133,0.999949038028717,0.9999793767929077,0.006431561429053545,0.9999793767929077,0.9999858140945435,0.005343280266970396,0.9999858140945435,0.9999857544898987,0.0053491136059165,0.9999856352806091,0.5953660011291504
bbj,0.9999552369117737,0.00946027971804142,0.9999552965164185,0.9999818801879883,0.006018535234034061,0.9999818801879883,0.9999910593032837,0.004263695795089006,0.9999909400939941,0.999977171421051,0.006768308114260435,0.9999770522117615,0.591513454914093
ewe,0.9999456405639648,0.010426395572721958,0.9999457597732544,0.9999930262565613,0.0037382568698376417,0.9999929666519165,0.9999899864196777,0.004485663026571274,0.9999900460243225,0.9999820590019226,0.00600458774715662,0.9999819397926331,0.6424698233604431
fon,0.9999442100524902,0.010567877441644669,0.9999441504478455,0.9999785423278809,0.006544684525579214,0.9999786615371704,0.9999895691871643,0.004573232959955931,0.9999895095825195,0.9999614357948303,0.008802557364106178,0.9999611973762512,0.621957004070282
hau,0.9999411702156067,0.01085139624774456,0.9999411702156067,0.9999871850013733,0.0050573162734508514,0.9999872446060181,0.9999889135360718,0.004703964106738567,0.9999889135360718,0.9999686479568481,0.007929420098662376,0.9999685883522034,0.5841456651687622
ibo,0.9999552965164185,0.0094630541279912,0.9999552369117737,0.9999802708625793,0.006295701023191214,0.9999802112579346,0.9999805092811584,0.00625717593356967,0.9999804496765137,0.9999947547912598,0.0032559868413954973,0.999994695186615,0.828946053981781
kin,0.9999611377716064,0.008825624361634254,0.9999610781669617,0.9999966621398926,0.002613213611766696,0.9999967217445374,0.9999911189079285,0.004213630221784115,0.9999911189079285,0.9999911189079285,0.004236371256411076,0.9999910593032837,0.7057284712791443
lug,0.9999617338180542,0.008761593140661716,0.9999616742134094,0.9999933838844299,0.0036503926385194063,0.9999933838844299,0.9999916553497314,0.0041197664104402065,0.9999914765357971,0.9999901652336121,0.00445585697889328,0.999989926815033,0.5830464363098145
luo,0.999962568283081,0.008647310547530651,0.9999626278877258,0.9999949932098389,0.0031761520076543093,0.9999950528144836,0.9999828934669495,0.0058704400435090065,0.9999828338623047,0.9999908208847046,0.0043084765784442425,0.9999906420707703,0.42441877722740173
mos,0.9999442100524902,0.010571058839559555,0.9999442100524902,0.9999760389328003,0.006921128369867802,0.9999760985374451,0.9999902248382568,0.00445151561871171,0.9999900460243225,0.9999802708625793,0.006299200002104044,0.9999802112579346,0.6329415440559387
nya,0.9999600648880005,0.008944360539317131,0.9999600052833557,0.999995768070221,0.0029197291005402803,0.999995768070221,0.9999895095825195,0.004588568117469549,0.9999894499778748,0.9999918937683105,0.0040555293671786785,0.999991774559021,0.7297815084457397
pcm,0.9999518990516663,0.009818836115300655,0.9999518394470215,0.9999876022338867,0.004992567002773285,0.9999875426292419,0.9999853372573853,0.005432261154055595,0.9999852776527405,0.9999762773513794,0.006912398152053356,0.9999760389328003,0.6351363658905029
sna,0.99995356798172,0.009647446684539318,0.9999535083770752,0.9999843239784241,0.005614052526652813,0.9999843239784241,0.9999933242797852,0.003680915106087923,0.9999932646751404,0.9999879598617554,0.0049238745123147964,0.999987781047821,0.8574981093406677
swa,0.9999537467956543,0.009620667435228825,0.9999537467956543,0.9999935030937195,0.0036020795814692974,0.9999935626983643,0.9999827742576599,0.005885659251362085,0.9999827146530151,0.9999796152114868,0.00639835000038147,0.9999794960021973,0.8421420454978943
tsn,0.9999608993530273,0.00883936882019043,0.9999608993530273,0.9999855160713196,0.0053831529803574085,0.9999855756759644,0.9999847412109375,0.0055484166368842125,0.9999845623970032,0.9999939799308777,0.003519433783367276,0.9999938011169434,0.6842910051345825
twi,0.9999306201934814,0.011784515343606472,0.9999306201934814,0.9999866485595703,0.0051801144145429134,0.9999865889549255,0.9999915957450867,0.004104256629943848,0.9999915361404419,0.999972939491272,0.007367937359958887,0.9999727606773376,0.6278892755508423
wol,0.9999546408653259,0.009544432163238525,0.9999545216560364,0.999991238117218,0.004181920550763607,0.999991238117218,0.9999879002571106,0.004939929116517305,0.9999878406524658,0.9999898076057434,0.004531821236014366,0.9999897480010986,0.5990187525749207
xho,0.9999540448188782,0.009596251882612705,0.9999540448188782,0.999984860420227,0.005500778090208769,0.9999849796295166,0.9999942183494568,0.003423597663640976,0.9999942183494568,0.9999935030937195,0.003603865159675479,0.9999935030937195,0.7258588671684265
yor,0.9999594688415527,0.009015288203954697,0.999959409236908,0.9999843239784241,0.005595534574240446,0.9999843239784241,0.9999916553497314,0.00411484157666564,0.9999916553497314,0.9999865889549255,0.005207340233027935,0.999986469745636,0.7212153077125549
zul,0.9999591112136841,0.009054147638380527,0.9999590516090393,0.9999896287918091,0.004552337806671858,0.9999895691871643,0.999994158744812,0.0034515666775405407,0.9999940395355225,0.9999942779541016,0.003403168637305498,0.9999940395355225,0.6840206980705261
