,PER,DATE,ORG,LOC,Mean
zul,0.9999950528144836,0.9999997019767761,0.9999987483024597,0.9999992847442627,0.9999991789890399
luo,0.9999911189079285,0.9999997019767761,0.9999993443489075,0.9999988079071045,0.999999156148415
nya,0.9999973773956299,0.9999972581863403,0.9999989867210388,0.9999995827674866,0.9999985898260683
kin,0.999993622303009,0.9999974370002747,0.9999989867210388,0.9999994039535522,0.9999985306907514
yor,0.9999966025352478,0.9999995231628418,0.9999972581863403,0.9999988079071045,0.999998499402224
tsn,0.9999973773956299,0.9999994039535522,0.9999987483024597,0.999997079372406,0.9999983942727717
xho,0.9999964833259583,0.9999995827674866,0.9999987483024597,0.9999968409538269,0.9999983606376047
ibo,0.9999954104423523,0.9999989867210388,0.9999992251396179,0.9999961853027344,0.9999980895225145
sna,0.9999973773956299,0.9999971985816956,0.9999988079071045,0.9999966025352478,0.9999975338382671
wol,0.9999964833259583,0.9999956488609314,0.9999973177909851,0.9999991655349731,0.9999973633157926
swa,0.9999932646751404,0.9999955296516418,0.9999977350234985,0.9999974370002747,0.9999968433004665
twi,0.9999879002571106,0.9999969601631165,0.9999958276748657,0.9999953508377075,0.9999959179422674
mos,0.9999979734420776,0.9999908208847046,0.999998927116394,0.9999975562095642,0.9999958028004864
bbj,0.9999794960021973,0.9999934434890747,0.9999963045120239,0.999995231628418,0.9999947491593248
lug,0.9999948740005493,0.9999970197677612,0.9999872446060181,0.9999985694885254,0.9999942873406598
ewe,0.9999953508377075,0.9999839663505554,0.999998152256012,0.9999989867210388,0.9999937277453466
fon,0.999991774559021,0.9999909996986389,0.9999931454658508,0.9999944567680359,0.9999928501021518
pcm,0.9999918937683105,0.9999980330467224,0.9999855160713196,0.9999938607215881,0.9999924608728704
bam,0.9999884963035583,0.9999969601631165,0.9999781250953674,0.9999974966049194,0.9999908233877868
hau,0.9999749064445496,0.9999852180480957,0.9999792575836182,0.999997079372406,0.9999869916382738
