,PER,DATE,LOC,ORG
bam,0.9999879598617554,0.9999902248382568,0.9999930262565613,0.9999907612800598
bbj,0.9999929666519165,0.9999874830245972,0.9999915361404419,0.9999920129776001
ewe,0.9999882578849792,0.9999850988388062,0.999995231628418,0.999989926815033
fon,0.9999871253967285,0.9999829530715942,0.9999921321868896,0.9999884963035583
hau,0.999994695186615,0.9999903440475464,0.999995768070221,0.9999910593032837
ibo,0.9999904632568359,0.9999946355819702,0.9999953508377075,0.9999875426292419
kin,0.9999914765357971,0.9999975562095642,0.999998927116394,0.9999955296516418
lug,0.999994158744812,0.9999955296516418,0.999996542930603,0.9999964237213135
luo,0.999990701675415,0.9999953508377075,0.9999968409538269,0.9999848008155823
mos,0.9999896883964539,0.999988317489624,0.9999945759773254,0.999994158744812
nya,0.9999943375587463,0.999994158744812,0.9999977946281433,0.9999938011169434
pcm,0.9999847412109375,0.9999679327011108,0.9999905824661255,0.9999802112579346
sna,0.9999920129776001,0.9999960660934448,0.9999945163726807,0.9999964833259583
swa,0.9999905824661255,0.9999781250953674,0.9999937415122986,0.9999803304672241
tsn,0.999990701675415,0.9999939799308777,0.9999964237213135,0.9999861717224121
twi,0.9999886751174927,0.9999924302101135,0.9999949932098389,0.9999908208847046
wol,0.9999910593032837,0.9999961256980896,0.9999960064888,0.999987781047821
xho,0.9999920725822449,0.9999964237213135,0.9999953508377075,0.9999950528144836
yor,0.9999925494194031,0.999987781047821,0.999991774559021,0.9999922513961792
zul,0.9999943971633911,0.9999953508377075,0.9999969601631165,0.9999948143959045
