,ORG,DATE,LOC,PER,Mean
twi,,,,0.9789239764213562,0.9789239764213562
hau,0.9726741909980774,,,0.977556586265564,0.9751153886318207
swa,,,,0.9717389941215515,0.9717389941215515
pcm,,,0.9621267318725586,0.9734868407249451,0.9678067862987518
nya,0.9667057991027832,,,,0.9667057991027832
mos,0.9726090431213379,,,0.9547288417816162,0.963668942451477
luo,0.9590884447097778,,,0.968033492565155,0.9635609686374664
ewe,0.9542577266693115,,,0.9670284390449524,0.960643082857132
fon,,,,0.9602370858192444,0.9602370858192444
lug,0.9676612019538879,,,0.9505289793014526,0.9590950906276703
kin,0.9572808146476746,,,,0.9572808146476746
wol,0.9567561149597168,,,,0.9567561149597168
bam,0.951144278049469,,,,0.951144278049469
ibo,0.9689011573791504,,0.9267088174819946,,0.9478049874305725
sna,,,0.9154269099235535,0.9699336290359497,0.9426802694797516
tsn,0.9636145830154419,,0.9188511371612549,,0.9412328600883484
xho,,,0.8945668339729309,0.934607207775116,0.9145870208740234
bbj,0.9645258784294128,,0.8522830605506897,,0.9084044694900513
zul,,,0.8996894955635071,,0.8996894955635071
yor,0.965368390083313,,0.8255125880241394,,0.8954404890537262
