,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9540324807167053,0.3032078742980957,0.9539526104927063,0.9039273858070374,0.43834367394447327,0.903777539730072,0.8466892838478088,0.5537346601486206,0.8464199900627136,0.9185072183609009,0.40371519327163696,0.9183342456817627,0.668822169303894
bbj,0.9508291482925415,0.31359437108039856,0.950737476348877,0.7721089720726013,0.6751163005828857,0.7717426419258118,0.9189472794532776,0.4026234745979309,0.9187769889831543,0.8422976732254028,0.5616090893745422,0.841979444026947,0.7482138872146606
ewe,0.9481345415115356,0.322072833776474,0.9480381011962891,0.9214417934417725,0.39637863636016846,0.9213176369667053,0.950972855091095,0.3131362199783325,0.9508633613586426,0.7373703718185425,0.7247477769851685,0.7369463443756104,0.7545821070671082
fon,0.9416877031326294,0.3415033519268036,0.9415789246559143,0.8739791512489319,0.5020372271537781,0.8737760186195374,0.9478110671043396,0.3230764865875244,0.9476999044418335,0.8901099562644958,0.4688071608543396,0.8898767828941345,0.775322437286377
hau,0.9523537158966064,0.30869513750076294,0.9522649645805359,0.8562244176864624,0.5362378358840942,0.8560026288032532,0.9568411111831665,0.2937987744808197,0.9567506909370422,0.9398486018180847,0.3468471169471741,0.9397233128547668,0.8972404599189758
ibo,0.9592140913009644,0.2856080234050751,0.9591383337974548,0.8554872274398804,0.5376109480857849,0.8552501797676086,0.9541625380516052,0.30277907848358154,0.9540594816207886,0.9548997282981873,0.30033472180366516,0.954802393913269,0.6873243451118469
kin,0.9501098990440369,0.3158802092075348,0.9500194787979126,0.9504266977310181,0.31487545371055603,0.9503499269485474,0.948825478553772,0.3199201822280884,0.9487141370773315,0.9643457531929016,0.2670367360115051,0.9642693400382996,0.9585582613945007
lug,0.9349695444107056,0.3606398403644562,0.9348588585853577,0.9542816281318665,0.302385151386261,0.9542168974876404,0.9520610570907593,0.3096412420272827,0.9519610404968262,0.9204643368721008,0.39883771538734436,0.9202924370765686,0.9600305557250977
luo,0.9422520399093628,0.339847207069397,0.9421445727348328,0.9497298002243042,0.3170812129974365,0.949653685092926,0.9532742500305176,0.3056983947753906,0.953180730342865,0.9379558563232422,0.35226210951805115,0.9378263354301453,0.9267520308494568
mos,0.9425614476203918,0.3389350175857544,0.9424538612365723,0.8678935170173645,0.5140168070793152,0.8676800727844238,0.9407088756561279,0.3443576991558075,0.9405814409255981,0.8252293467521667,0.5912203192710876,0.8248841762542725,0.7037076950073242
nya,0.968837320804596,0.24965061247348785,0.9687801599502563,0.8733155131340027,0.5033578276634216,0.873114287853241,0.9431366920471191,0.33723390102386475,0.9430234432220459,0.938481330871582,0.3507668077945709,0.9383564591407776,0.7244392037391663
pcm,0.9602226614952087,0.28205397725105286,0.9601496458053589,0.9255672693252563,0.38583073019981384,0.9254502654075623,0.9068140983581543,0.43170809745788574,0.9066431522369385,0.7466130256652832,0.7118805050849915,0.746144711971283,0.6810863018035889
sna,0.9402245283126831,0.3457612097263336,0.9401125907897949,0.8481787443161011,0.5510377287864685,0.8479273319244385,0.9340764284133911,0.3631073832511902,0.9339393973350525,0.9591477513313293,0.28584036231040955,0.9590628147125244,0.6624765396118164
swa,0.9313265085220337,0.3706033527851105,0.9312044978141785,0.9462088942527771,0.32799702882766724,0.9461307525634766,0.896984875202179,0.45390552282333374,0.8967832922935486,0.8896180391311646,0.4698556363582611,0.8893904089927673,0.8908618092536926
tsn,0.9482818841934204,0.32161539793014526,0.9481850266456604,0.9217938184738159,0.3954899311065674,0.9216699600219727,0.9400624632835388,0.3462299704551697,0.9399377703666687,0.9491889476776123,0.31878241896629333,0.9490810632705688,0.8327662944793701
twi,0.9646136164665222,0.266031414270401,0.9645479917526245,0.9529030323028564,0.3069097101688385,0.9528313875198364,0.9687685966491699,0.24992533028125763,0.9687023758888245,0.9258050918579102,0.3852146565914154,0.9256550669670105,0.9836713671684265
wol,0.9580146670341492,0.28977707028388977,0.9579369425773621,0.8404725790023804,0.564849317073822,0.840218186378479,0.9435904026031494,0.33588555455207825,0.9434802532196045,0.9265455007553101,0.3832872211933136,0.926383376121521,0.8982325196266174
xho,0.9116818904876709,0.42028114199638367,0.9115132093429565,0.8197739124298096,0.6003766655921936,0.8194723129272461,0.9273310899734497,0.38123223185539246,0.9271799325942993,0.9087395071983337,0.42722490429878235,0.9085463881492615,0.6856249570846558
yor,0.8757230043411255,0.4985520839691162,0.8754824995994568,0.7663556337356567,0.6835851669311523,0.7659569978713989,0.916002631187439,0.40987229347229004,0.9158241748809814,0.874785840511322,0.5004282593727112,0.87450110912323,0.5524519085884094
zul,0.9138041734695435,0.41520124673843384,0.9136397242546082,0.8975426554679871,0.4526749849319458,0.8973782658576965,0.9418659806251526,0.3409811854362488,0.9417401552200317,0.9505317807197571,0.3145419657230377,0.9504236578941345,0.8169918060302734
