,PER,ORG,LOC,DATE
bam,0.9821377992630005,0.9149504899978638,0.9437371492385864,0.9586779475212097
bbj,0.9749694466590881,0.955978274345398,0.8551084399223328,0.8843199610710144
ewe,0.9625365734100342,0.9745580554008484,0.9614576697349548,0.7905924916267395
fon,0.957782506942749,0.9713646173477173,0.9178163409233093,0.9328092336654663
hau,0.9773030877113342,0.9706059098243713,0.9114646911621094,0.9537330269813538
ibo,0.98287034034729,0.9757509827613831,0.9019191861152649,0.9572681784629822
kin,0.9730960130691528,0.972907543182373,0.9688704013824463,0.9580920338630676
lug,0.961699366569519,0.9746705293655396,0.9771928191184998,0.915845513343811
luo,0.9721959829330444,0.9772732853889465,0.974144458770752,0.9467228651046753
mos,0.9665147066116333,0.9683783054351807,0.9130874872207642,0.8664669394493103
nya,0.988206148147583,0.9621454477310181,0.9181244969367981,0.9335747361183167
pcm,0.9836143255233765,0.9450069665908813,0.9690961241722107,0.7633099555969238
sna,0.9705082774162292,0.9555415511131287,0.8972988128662109,0.9588723182678223
swa,0.9675659537315369,0.934707522392273,0.9775542616844177,0.8852289319038391
tsn,0.9755421876907349,0.9628695249557495,0.9572427868843079,0.9610099792480469
twi,0.98524010181427,0.9824086427688599,0.9775826930999756,0.9356048107147217
wol,0.9772093296051025,0.9627715945243835,0.9130112528800964,0.9294992685317993
xho,0.9285796880722046,0.9558114409446716,0.8887144923210144,0.9083327651023865
yor,0.9201616644859314,0.9558843970298767,0.7652888298034668,0.9025419354438782
zul,0.9431539177894592,0.9685045480728149,0.9351472854614258,0.9532837271690369
