,PER,LOC,ORG,DATE,SWD_mean
bam,0.009730736351230007,0.013903937360737473,0.016018566720958916,0.010042512464679021,0.012423938224401354
bbj,0.008794046767434338,0.018610729777719826,0.010313396338460734,0.014781553582906781,0.01312493161663042
ewe,0.010733307831287675,0.010826497120433487,0.008325557968419162,0.02039105630501581,0.012569104806289033
fon,0.010402628904557787,0.011518752085066808,0.009254454723304661,0.012384860666315944,0.0108901740948113
hau,0.0093020173799232,0.013673559632479737,0.009862471970336628,0.009333114859146008,0.010542790960471393
ibo,0.0083270725026523,0.015997304936718137,0.009121250286625582,0.009231814708073216,0.010669360608517309
kin,0.009805218190194864,0.010420580340905872,0.010043109826256114,0.00868613110651495,0.00973875986596795
lug,0.010368182498496026,0.009638612805247249,0.009661138505180134,0.010832536143425386,0.010125117488087199
luo,0.009984408006857848,0.009612403344362974,0.008436252944193257,0.008926216929467046,0.009239820306220281
mos,0.010003666405282274,0.01362038400293386,0.008788897199337953,0.015647364632968674,0.01201507806013069
nya,0.008049102923905593,0.012565429516143922,0.010851876862943755,0.009414289800588449,0.01022017477589543
pcm,0.00858526607771637,0.01040398770783213,0.010898918425482407,0.01830842192430282,0.012049148533833431
sna,0.010189205141614366,0.014016688166520908,0.010726545193392667,0.008848057256273023,0.010945123939450241
swa,0.009436449294298654,0.00923584546217171,0.013320019864295318,0.012626248977539944,0.011154640899576407
tsn,0.009734989825119555,0.009997267068683868,0.01039191015797769,0.008682379652327654,0.009701636676027192
twi,0.008252394552073383,0.009871866883258917,0.00799287733843812,0.01107826830502745,0.009298851769699468
wol,0.009076116989490401,0.014143109167889634,0.008831477823150635,0.011305356223601848,0.01083901505103313
xho,0.01211151200459426,0.014590762399166124,0.01105029856080364,0.01264784760587645,0.012600105142610118
yor,0.01433751955300977,0.01818812817964499,0.01108870030111575,0.012647229277717997,0.014065394327872127
zul,0.010084942272442277,0.011898911081516417,0.009487853652899503,0.008775049444011529,0.010061689112717431
