layer,model,rank_type,language,cosine
1,mbert,top5,kin,0.911890059709549
1,mbert,top5,lug,0.9048918932676315
1,mbert,top5,twi,0.8973783254623413
1,mbert,top5,ibo,0.8936763256788254
1,mbert,top5,luo,0.8919459581375122
1,mbert,worst5,yor,0.7044723033905029
1,mbert,worst5,bbj,0.7463476806879044
1,mbert,worst5,mos,0.7825865596532822
1,mbert,worst5,fon,0.795833945274353
1,mbert,worst5,bam,0.819766953587532
2,mbert,top5,kin,0.9191264361143112
2,mbert,top5,twi,0.9054132103919983
2,mbert,top5,luo,0.9022146463394165
2,mbert,top5,lug,0.901278018951416
2,mbert,top5,ibo,0.9007437229156494
2,mbert,worst5,yor,0.7299752682447433
2,mbert,worst5,bbj,0.7687152773141861
2,mbert,worst5,mos,0.7984112799167633
2,mbert,worst5,fon,0.8119950294494629
2,mbert,worst5,ewe,0.8268089443445206
3,mbert,top5,kin,0.9496127218008041
3,mbert,top5,luo,0.9382700175046921
3,mbert,top5,twi,0.937306597828865
3,mbert,top5,nya,0.9333977252244949
3,mbert,top5,lug,0.9304630011320114
3,mbert,worst5,yor,0.8233877569437027
3,mbert,worst5,bbj,0.8504146337509155
3,mbert,worst5,mos,0.8685953468084335
3,mbert,worst5,ewe,0.8816224783658981
3,mbert,worst5,fon,0.8847233653068542
4,mbert,top5,kin,0.9608025699853897
4,mbert,top5,luo,0.9538787603378296
4,mbert,top5,twi,0.9536934792995453
4,mbert,top5,nya,0.9479444921016693
4,mbert,top5,lug,0.9430271536111832
4,mbert,worst5,yor,0.8569143563508987
4,mbert,worst5,bbj,0.8784725368022919
4,mbert,worst5,mos,0.892308235168457
4,mbert,worst5,ewe,0.8963853120803833
4,mbert,worst5,fon,0.9068054109811783
5,mbert,top5,kin,0.970945805311203
5,mbert,top5,luo,0.96720290184021
5,mbert,top5,twi,0.9655780792236328
5,mbert,top5,nya,0.9603393375873566
5,mbert,top5,sna,0.9556054174900055
5,mbert,worst5,yor,0.8922567218542099
5,mbert,worst5,bbj,0.9087324142456055
5,mbert,worst5,ewe,0.9156859517097473
5,mbert,worst5,mos,0.9231005311012268
5,mbert,worst5,pcm,0.9293999075889587
6,mbert,top5,luo,0.9748615026473999
6,mbert,top5,kin,0.9747195839881897
6,mbert,top5,twi,0.97370745241642
6,mbert,top5,nya,0.9664970636367798
6,mbert,top5,tsn,0.9659198969602585
6,mbert,worst5,yor,0.9102519303560257
6,mbert,worst5,bbj,0.9202508330345154
6,mbert,worst5,ewe,0.9319759458303452
6,mbert,worst5,mos,0.9363638311624527
6,mbert,worst5,pcm,0.9396785795688629
7,mbert,top5,twi,0.9646532535552979
7,mbert,top5,luo,0.9624817967414856
7,mbert,top5,kin,0.9621790051460266
7,mbert,top5,nya,0.955069050192833
7,mbert,top5,tsn,0.9546883404254913
7,mbert,worst5,yor,0.882951557636261
7,mbert,worst5,bbj,0.8968721628189087
7,mbert,worst5,mos,0.915376827120781
7,mbert,worst5,ewe,0.9155992567539215
7,mbert,worst5,pcm,0.9189219325780869
8,mbert,top5,twi,0.9634711146354675
8,mbert,top5,luo,0.9583969563245773
8,mbert,top5,kin,0.9579551666975021
8,mbert,top5,nya,0.9530709683895111
8,mbert,top5,tsn,0.9519234299659729
8,mbert,worst5,yor,0.8789114058017731
8,mbert,worst5,bbj,0.8961304873228073
8,mbert,worst5,mos,0.909462183713913
8,mbert,worst5,pcm,0.9144016802310944
8,mbert,worst5,ewe,0.9152411669492722
9,mbert,top5,twi,0.9713769257068634
9,mbert,top5,luo,0.9696081876754761
9,mbert,top5,kin,0.9691263437271118
9,mbert,top5,tsn,0.9600104242563248
9,mbert,top5,ibo,0.9593068808317184
9,mbert,worst5,yor,0.9155119359493256
9,mbert,worst5,bbj,0.9251987189054489
9,mbert,worst5,ewe,0.9291178584098816
9,mbert,worst5,pcm,0.9315000772476196
9,mbert,worst5,mos,0.9320166110992432
10,mbert,top5,twi,0.9839564363161722
10,mbert,top5,lug,0.9794037342071533
10,mbert,top5,luo,0.9793279767036438
10,mbert,top5,kin,0.9775005578994751
10,mbert,top5,swa,0.9769540826479594
10,mbert,worst5,yor,0.9311378598213196
10,mbert,worst5,xho,0.9339998563130697
10,mbert,worst5,bbj,0.948946495850881
10,mbert,worst5,fon,0.9507319529851278
10,mbert,worst5,bam,0.9523646632830302
11,mbert,top5,twi,0.9846129218737284
11,mbert,top5,luo,0.9803465803464254
11,mbert,top5,lug,0.9790577491124471
11,mbert,top5,kin,0.9776025215784708
11,mbert,top5,swa,0.9751554330190023
11,mbert,worst5,yor,0.9370020031929016
11,mbert,worst5,xho,0.9386127591133118
11,mbert,worst5,bbj,0.948884109656016
11,mbert,worst5,fon,0.9564809401830038
11,mbert,worst5,bam,0.9567716320355734
12,mbert,top5,twi,0.9320494333902994
12,mbert,top5,lug,0.92487766345342
12,mbert,top5,luo,0.9107582767804464
12,mbert,top5,kin,0.9059608976046244
12,mbert,top5,swa,0.8919878403345743
12,mbert,worst5,xho,0.7449628114700317
12,mbert,worst5,yor,0.7486180464426676
12,mbert,worst5,bbj,0.8074959913889567
12,mbert,worst5,sna,0.8203286329905192
12,mbert,worst5,mos,0.8262789050738016
