,DATE,ORG,PER,LOC,Mean
twi,0.9332036375999451,0.9769681692123413,0.9792847633361816,0.9691564440727234,0.9646532535552979
luo,0.9503495693206787,0.9664500951766968,0.9662168025970459,0.966910719871521,0.9624817967414856
kin,0.9392024874687195,0.9742582440376282,0.9620276689529419,0.9732276201248169,0.9621790051460266
nya,0.9230136871337891,0.9699586033821106,0.9779207706451416,0.9493831396102905,0.955069050192833
tsn,0.9563596248626709,0.9496537446975708,0.9691709280014038,0.9435690641403198,0.9546883404254913
lug,0.880068838596344,0.9539613127708435,0.9919194579124451,0.972679078578949,0.9496571719646454
ibo,0.9699974060058594,0.9669671654701233,0.9704073071479797,0.8755307793617249,0.9457256644964218
zul,0.9607046246528625,0.9583133459091187,0.9456259608268738,0.915414035320282,0.9450144916772842
sna,0.9673263430595398,0.959564745426178,0.9778833985328674,0.8736007213592529,0.9445938020944595
swa,0.8916999101638794,0.934489369392395,0.967985987663269,0.9839805960655212,0.9445389658212662
hau,0.9598692655563354,0.9621787667274475,0.9682297706604004,0.8781189918518066,0.9420991986989975
wol,0.9357168674468994,0.9603740572929382,0.9697204828262329,0.8983851671218872,0.9410491436719894
bam,0.9203987717628479,0.9231142401695251,0.9648940563201904,0.929107666015625,0.9343786835670471
xho,0.9673035740852356,0.9410239458084106,0.954332172870636,0.8570297956466675,0.9299223721027374
fon,0.9171664118766785,0.9517207145690918,0.9546950459480286,0.8648450374603271,0.9221068024635315
pcm,0.78505939245224,0.9427563548088074,0.9809077978134155,0.9669641852378845,0.9189219325780869
ewe,0.7845335602760315,0.9557083249092102,0.9698266983032227,0.9523284435272217,0.9155992567539215
mos,0.8524616956710815,0.9602299928665161,0.9580163359642029,0.8907992839813232,0.915376827120781
bbj,0.8543850183486938,0.9314591884613037,0.9715290069580078,0.8301154375076294,0.8968721628189087
yor,0.8737421631813049,0.9459554553031921,0.9003084897994995,0.8118001222610474,0.882951557636261
