,ORG,PER,DATE,LOC,Mean
lug,0.8361479640007019,0.8421839475631714,,,0.8391659557819366
twi,0.8357664942741394,0.8777908682823181,,0.749618649482727,0.8210586706797282
kin,0.8422888517379761,0.8615239858627319,,0.7411980032920837,0.8150036136309305
hau,0.8223218321800232,0.8748205900192261,,0.7174766063690186,0.804873009522756
nya,0.8172003030776978,0.8726500272750854,,0.724577784538269,0.8048093716303507
sna,0.8190568685531616,0.8370906114578247,,0.7373414635658264,0.7978296478589376
mos,0.7495408654212952,0.8116345405578613,,,0.7805877029895782
swa,0.7469717264175415,0.8200730681419373,,0.7653914093971252,0.7774787346522013
ewe,0.7504635453224182,0.7914023995399475,,,0.7709329724311829
ibo,0.792892336845398,,,0.7283819913864136,0.7606371641159058
tsn,0.8164077997207642,,,0.6999746561050415,0.7581912279129028
pcm,,0.8388664722442627,,0.6737632155418396,0.7563148438930511
luo,0.6984918713569641,0.8029957413673401,,,0.7507438063621521
wol,0.7396911382675171,0.8263302445411682,,0.6401416063308716,0.7353876630465189
zul,,0.8171538710594177,,0.6525801420211792,0.7348670065402985
fon,0.7243977785110474,0.7575436234474182,,0.6898412108421326,0.7239275376001993
bam,0.6827425360679626,,,0.748961865901947,0.7158522009849548
xho,,0.7406603097915649,,0.6590056419372559,0.6998329758644104
bbj,0.6917608976364136,,,0.5092787146568298,0.6005198061466217
yor,0.6823669075965881,,,0.5078909397125244,0.5951289236545563
