,PER,LOC,ORG,DATE
bam,0.9107865691184998,0.8728786110877991,0.7373296022415161,
bbj,0.9133695363998413,0.6611205339431763,0.8479979038238525,
ewe,0.8864696621894836,0.9115576148033142,0.8740875124931335,
fon,0.8379226326942444,0.7673153281211853,0.881702184677124,
hau,0.8945004343986511,0.7451294660568237,0.8915272951126099,
ibo,0.9219518899917603,0.7955416440963745,0.8866835236549377,
kin,0.8928790092468262,0.9123602509498596,0.9126434326171875,
lug,0.9360412359237671,0.9511672854423523,0.8874244689941406,
luo,0.9115172624588013,0.9244957566261292,0.8962618112564087,
mos,0.8414290547370911,0.7562034726142883,0.8812041878700256,
nya,0.9250894784927368,0.7419828772544861,0.8884015083312988,
pcm,0.9202091097831726,0.9379673600196838,0.8051095604896545,
sna,0.8868083953857422,0.7556147575378418,0.8185627460479736,
swa,0.886296808719635,0.9346417188644409,0.8550249934196472,
tsn,0.8843415975570679,0.8063671588897705,0.8662279844284058,
twi,0.9367577433586121,0.9334405064582825,0.9259500503540039,
wol,0.8939669728279114,0.7166351675987244,0.8780887126922607,
xho,0.7220900058746338,0.691852331161499,0.8209460973739624,
yor,0.7620183825492859,0.6226430535316467,0.8611927032470703,
zul,0.8288346529006958,0.8010174036026001,0.858207106590271,
