,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9574570059776306,0.29169490933418274,0.9573438763618469,0.9444167613983154,0.3334164023399353,0.9442735910415649,0.8731505870819092,0.5036853551864624,0.8728203177452087,0.9470056891441345,0.32555916905403137,0.9468608498573303,0.6885891556739807
bbj,0.9583374857902527,0.2886611521244049,0.9582212567329407,0.8590130805969238,0.5310122966766357,0.8586605191230774,0.938727855682373,0.35006359219551086,0.9385566711425781,0.8902544975280762,0.4684985876083374,0.8899686336517334,0.8207659721374512
ewe,0.9493188858032227,0.3183743953704834,0.9491789937019348,0.926750898361206,0.3827510476112366,0.9265584945678711,0.9549371004104614,0.30020949244499207,0.9548072218894958,0.8622639775276184,0.524854838848114,0.8619173169136047,0.9816926121711731
fon,0.9454998970031738,0.33015206456184387,0.9453502893447876,0.9163604974746704,0.4089982807636261,0.916146993637085,0.9487230777740479,0.32024019956588745,0.9485802054405212,0.9111588597297668,0.4215240478515625,0.9109251499176025,0.8608115315437317
hau,0.9650964736938477,0.2642102837562561,0.9650000929832458,0.9225249290466309,0.3936375677585602,0.9223323464393616,0.9679983258247375,0.2529884874820709,0.9679099917411804,0.9515991806983948,0.3111298680305481,0.9514679312705994,0.9264291524887085
ibo,0.9645309448242188,0.2663419544696808,0.9644340872764587,0.9300922155380249,0.37391960620880127,0.9299091696739197,0.9666220545768738,0.2583709955215454,0.96652752161026,0.9718823432922363,0.2371402233839035,0.9718047380447388,0.7494049668312073
kin,0.9698761105537415,0.24545423686504364,0.9697948098182678,0.9673052430152893,0.25571408867836,0.9672207832336426,0.9756307601928711,0.22076819837093353,0.9755603075027466,0.9630363583564758,0.2718956172466278,0.9629347920417786,0.946843683719635
lug,0.970938503742218,0.24108700454235077,0.9708596467971802,0.9583031535148621,0.2887798845767975,0.9582011699676514,0.9637020826339722,0.2694360613822937,0.9636006355285645,0.9403877258300781,0.345289409160614,0.9402291178703308,0.9440861940383911
luo,0.9538737535476685,0.30373114347457886,0.9537478685379028,0.9596881866455078,0.2839433252811432,0.9595859050750732,0.965387761592865,0.2631058394908905,0.9652923941612244,0.956555962562561,0.29476818442344666,0.9564371705055237,0.9081677794456482
mos,0.9575791954994202,0.2912755310535431,0.9574598073959351,0.9314675331115723,0.37022343277931213,0.9312898516654968,0.9567723274230957,0.29403308033943176,0.9566497802734375,0.9030146598815918,0.4404209852218628,0.9027611613273621,0.878227949142456
nya,0.9755251407623291,0.2212449163198471,0.9754573106765747,0.9310308694839478,0.3714004158973694,0.9308528900146484,0.9705687165260315,0.24261640012264252,0.9704849720001221,0.9514541029930115,0.31159573793411255,0.9513219594955444,0.8811202645301819
pcm,0.9672507047653198,0.2559265196323395,0.9671615958213806,0.9461591243743896,0.3281489312648773,0.9460229873657227,0.941074550151825,0.3432938754558563,0.940919041633606,0.847163736820221,0.5528765320777893,0.8467735648155212,0.8907262086868286
sna,0.9693762063980103,0.24748218059539795,0.9692907333374023,0.9123269319534302,0.41874366998672485,0.912093460559845,0.9692104458808899,0.24815186858177185,0.9691207408905029,0.9651976227760315,0.2638274133205414,0.9651011228561401,0.7990221381187439
swa,0.9574586153030396,0.29168885946273804,0.9573429822921753,0.9585787653923035,0.28782400488853455,0.95847487449646,0.9437169432640076,0.33550846576690674,0.9435606002807617,0.9073602557182312,0.43044060468673706,0.9071052670478821,0.9139078259468079
tsn,0.9622088670730591,0.2749224901199341,0.9621038436889648,0.9266476631164551,0.38302046060562134,0.9264574646949768,0.9499542713165283,0.316372275352478,0.9498143196105957,0.9538745284080505,0.3037289083003998,0.953747034072876,0.8720535635948181
twi,0.9707655310630798,0.2418031394481659,0.9706867933273315,0.9616916179656982,0.27679774165153503,0.9615946412086487,0.9746407866477966,0.2252073734998703,0.9745685458183289,0.946070671081543,0.3284185826778412,0.9459262490272522,0.972564160823822
wol,0.9649173617362976,0.26488712430000305,0.9648200273513794,0.9223490953445435,0.3940838575363159,0.9221458435058594,0.9598988890647888,0.2831999957561493,0.9597842693328857,0.9471999406814575,0.3249622583389282,0.9470528960227966,0.9354685544967651
xho,0.9455340504646301,0.3300485908985138,0.9453796744346619,0.9032441973686218,0.4398992657661438,0.9029854536056519,0.9533257484436035,0.30552971363067627,0.9531905055046082,0.9746173620223999,0.22531162202358246,0.9745471477508545,0.8506568670272827
yor,0.9198521375656128,0.4003695547580719,0.9196294546127319,0.8674163818359375,0.5149440169334412,0.8670642971992493,0.9461692571640015,0.3281179964542389,0.9460137486457825,0.9090487957000732,0.4265003502368927,0.9087909460067749,0.8560674786567688
zul,0.948458731174469,0.3210642635822296,0.9483133554458618,0.9292827844619751,0.3760780096054077,0.929095983505249,0.9646556377410889,0.26587361097335815,0.9645524024963379,0.9593056440353394,0.2852875590324402,0.9591925144195557,0.8622915744781494
