,PER,DATE,ORG,LOC
bam,0.9853377342224121,,0.9767566919326782,0.9733736515045166
bbj,0.9749590754508972,,0.9682584404945374,0.9556839466094971
ewe,0.9819739460945129,,0.9788820743560791,0.9820102453231812
fon,0.9760375022888184,,0.9760901927947998,0.9725103378295898
hau,0.9938911199569702,,0.987793505191803,0.985065758228302
ibo,0.9940494894981384,,0.9844475388526917,0.9815620183944702
kin,0.9962100982666016,,0.986741840839386,0.9848105907440186
lug,0.9949959516525269,,0.9944627285003662,0.9790219664573669
luo,0.9900716543197632,,0.9835203289985657,0.9832491874694824
mos,0.9908350110054016,,0.9844456315040588,0.98846834897995
nya,0.992912232875824,,0.9838743209838867,0.978331446647644
pcm,0.9859386086463928,,0.9731574058532715,0.9736717343330383
sna,0.9933943152427673,,0.9911629557609558,0.9910075068473816
swa,0.9778082966804504,,0.9665353894233704,0.9664004445075989
tsn,0.9931370615959167,,0.9865652322769165,0.9815426468849182
twi,0.9888343811035156,,0.9887765645980835,0.9835801124572754
wol,0.9883142113685608,,0.985003650188446,0.9846683144569397
xho,0.9813485145568848,,0.9885303378105164,0.9851296544075012
yor,0.9732675552368164,,0.975146472454071,0.9551506042480469
zul,0.9893707036972046,,0.99028080701828,0.9718297719955444
