,PER,LOC,ORG,DATE
bam,0.972969651222229,0.9576882123947144,0.9369678497314453,
bbj,0.9737247824668884,0.9087425470352173,0.9472757577896118,
ewe,0.9716235399246216,0.9405977129936218,0.9605904221534729,
fon,0.9437118768692017,0.9515953063964844,0.9591034650802612,
hau,0.974044919013977,0.9616488814353943,0.9682433605194092,
ibo,0.9875671863555908,0.9616114497184753,0.9613779187202454,
kin,0.9852604866027832,0.9588797688484192,0.9664890766143799,
lug,0.9865983724594116,0.9555585384368896,0.9805917143821716,
luo,0.9796851277351379,0.9617919921875,0.9410477876663208,
mos,0.9751235842704773,0.9680699110031128,0.9650038480758667,
nya,0.9811026453971863,0.950253427028656,0.9736036062240601,
pcm,0.9687841534614563,0.9226863980293274,0.9219058752059937,
sna,0.9756082892417908,0.9711077213287354,0.9842562675476074,
swa,0.96720290184021,0.9565945863723755,0.9433800578117371,
tsn,0.9647050499916077,0.9411633610725403,0.9484314322471619,
twi,0.9850879311561584,0.9641408920288086,0.9752378463745117,
wol,0.9638601541519165,0.9613966941833496,0.9607426524162292,
xho,0.9452300667762756,0.9554799795150757,0.974524974822998,
yor,0.9630000591278076,0.9126220941543579,0.9582082033157349,
zul,0.974249541759491,0.9635891914367676,0.9771760106086731,
