,PER,ORG,LOC,DATE
bam,0.9854207634925842,0.9764648675918579,0.9793569445610046,0.9780702590942383
bbj,0.9757726192474365,0.9787284731864929,0.9384287595748901,0.9676842093467712
ewe,0.979655385017395,0.9870415329933167,0.973210334777832,0.9614019989967346
fon,0.9588828086853027,0.9798822999000549,0.9694264531135559,0.9377139806747437
hau,0.9850614070892334,0.9859326481819153,0.9773626327514648,0.9809940457344055
ibo,0.9906418919563293,0.9809839725494385,0.9790281653404236,0.9853636026382446
kin,0.9940412640571594,0.9896357655525208,0.9844832420349121,0.9807652235031128
lug,0.9923873543739319,0.990915834903717,0.98405522108078,0.9811168313026428
luo,0.9851401448249817,0.9811823964118958,0.9849783778190613,0.982683539390564
mos,0.9858551025390625,0.9899758100509644,0.98403000831604,0.9702895283699036
nya,0.9886967539787292,0.9909924268722534,0.9713111519813538,0.9795061349868774
pcm,0.9775263667106628,0.9692832231521606,0.9711689352989197,0.9466100931167603
sna,0.9894170165061951,0.9890269637107849,0.9892929196357727,0.9701757431030273
swa,0.9826709628105164,0.9779360890388489,0.9759815335273743,0.9733483195304871
tsn,0.9710574746131897,0.9735222458839417,0.9673557281494141,0.9849874973297119
twi,0.9890658855438232,0.9888741374015808,0.9867691397666931,0.9708406925201416
wol,0.9747527837753296,0.982142984867096,0.9818543195724487,0.9725725054740906
xho,0.9657643437385559,0.9913517236709595,0.9856510758399963,0.9883279204368591
yor,0.9590306878089905,0.9717316031455994,0.9387466907501221,0.9686551094055176
zul,0.9809460043907166,0.9938765168190002,0.9722132086753845,0.984642505645752
