,PER_cos,PER_euclid,PER_ccos,LOC_cos,LOC_euclid,LOC_ccos,ORG_cos,ORG_euclid,ORG_ccos,DATE_cos,DATE_euclid,DATE_ccos,CKA_proto_tags
bam,0.9841191172599792,0.1782180815935135,0.9840900301933289,0.9717221260070801,0.23781481385231018,0.9716692566871643,0.9356013536453247,0.35888350009918213,0.935483455657959,,,,
bbj,0.9727796912193298,0.23332561552524567,0.972729504108429,0.9456154704093933,0.329802006483078,0.9455146789550781,0.9649402499198914,0.26480165123939514,0.9648743867874146,,,,
ewe,0.9773521423339844,0.2128291130065918,0.9773093461990356,0.9725055694580078,0.23449714481830597,0.9724531173706055,0.9781968593597412,0.2088218629360199,0.9781549572944641,,,,
fon,0.9610558748245239,0.2790851294994354,0.9609839916229248,0.9704952239990234,0.2429191768169403,0.9704398512840271,0.968710720539093,0.2501576542854309,0.9686519503593445,,,,
hau,0.9892560839653015,0.14658795297145844,0.989236056804657,0.9824957251548767,0.18710586428642273,0.9824625253677368,0.9840343594551086,0.1786929965019226,0.9840050339698792,,,,
ibo,0.9878345727920532,0.15598389506340027,0.9878117442131042,0.9814615845680237,0.19255393743515015,0.981426477432251,0.9783102869987488,0.20827758312225342,0.9782686233520508,,,,
kin,0.9905422329902649,0.13753356039524078,0.9905248880386353,0.9875267148017883,0.15794524550437927,0.9875030517578125,0.9885772466659546,0.1511480063199997,0.9885552525520325,,,,
lug,0.9865266680717468,0.16415438055992126,0.9865017533302307,0.9827066659927368,0.18597514927387238,0.9826737642288208,0.9921079874038696,0.1256355196237564,0.9920929670333862,,,,
luo,0.9781192541122437,0.20919260382652283,0.9780780673027039,0.985185444355011,0.17213141918182373,0.9851572513580322,0.9778504371643066,0.21047423779964447,0.9778077602386475,,,,
mos,0.9831261038780212,0.18370667099952698,0.9830942749977112,0.9792986512184143,0.2034764289855957,0.9792597889900208,0.9821247458457947,0.18907885253429413,0.9820911288261414,,,,
nya,0.9825314879417419,0.1869153380393982,0.9824987053871155,0.9837507009506226,0.18027448654174805,0.9837199449539185,0.9886983036994934,0.1503450572490692,0.9886767268180847,,,,
pcm,0.9683119654655457,0.25174638628959656,0.9682520031929016,0.941036581993103,0.34340527653694153,0.9409240484237671,0.9594424366950989,0.28480756282806396,0.9593649506568909,,,,
sna,0.9822402596473694,0.18846607208251953,0.9822070598602295,0.9904572367668152,0.1381496787071228,0.9904393553733826,0.9897612929344177,0.14309915900230408,0.9897419810295105,,,,
swa,0.9574422836303711,0.2917462885379791,0.9573622941970825,0.9685967564582825,0.250612735748291,0.9685370922088623,0.9497755765914917,0.316937118768692,0.9496778845787048,,,,
tsn,0.9815150499343872,0.1922750025987625,0.9814804792404175,0.9791184067726135,0.20436079800128937,0.9790791273117065,0.9825356006622314,0.18689319491386414,0.982501745223999,,,,
twi,0.9829795360565186,0.18450193107128143,0.9829480051994324,0.9796288013458252,0.20184707641601562,0.9795907139778137,0.9863020777702332,0.16551725566387177,0.9862760305404663,,,,
wol,0.9816930294036865,0.19134804606437683,0.9816587567329407,0.9797119498252869,0.2014354169368744,0.9796739220619202,0.9798035025596619,0.2009820193052292,0.9797649383544922,,,,
xho,0.9656941890716553,0.2619381546974182,0.9656305909156799,0.9837357997894287,0.18035708367824554,0.9837049245834351,0.9874189496040344,0.15862606465816498,0.9873951077461243,,,,
yor,0.9592385292053223,0.28552231192588806,0.9591635465621948,0.9575587511062622,0.29134583473205566,0.9574804902076721,0.963674783706665,0.2695372998714447,0.9636087417602539,,,,
zul,0.9816914796829224,0.1913568675518036,0.9816570281982422,0.9751944541931152,0.22273491322994232,0.9751471281051636,0.9912834763526917,0.13203507661819458,0.991266667842865,,,,
