,ORG,DATE,LOC,PER,Mean
hau,0.9999797344207764,0.9999611973762512,0.9999827146530151,0.9999890923500061,0.9999781847000122
lug,0.9999880790710449,0.9999589323997498,0.9999688267707825,0.9999957084655762,0.9999778866767883
kin,0.999975860118866,0.9999493360519409,0.9999837279319763,0.9999879598617554,0.9999742209911346
nya,0.9999793767929077,0.9999447464942932,0.999981701374054,0.9999889135360718,0.9999736845493317
xho,0.9999798536300659,0.9999833703041077,0.999972403049469,0.9999540448188782,0.9999724179506302
sna,0.9999840259552002,0.9999327659606934,0.9999847412109375,0.9999849200248718,0.9999716132879257
twi,0.9999740123748779,0.999953031539917,0.9999682307243347,0.9999828338623047,0.9999695271253586
zul,0.9999785423278809,0.9999674558639526,0.9999547004699707,0.9999760985374451,0.9999691992998123
bam,0.999961256980896,0.9999555349349976,0.9999740123748779,0.9999799132347107,0.9999676793813705
ibo,0.9999469518661499,0.9999661445617676,0.9999728798866272,0.9999816417694092,0.9999669045209885
mos,0.9999678134918213,0.9999327063560486,0.9999808073043823,0.9999765753746033,0.9999644756317139
luo,0.9999509453773499,0.9999704360961914,0.9999710321426392,0.9999624490737915,0.999963715672493
tsn,0.9999605417251587,0.9999656677246094,0.9999518394470215,0.9999728202819824,0.999962717294693
wol,0.999960720539093,0.9999584555625916,0.9999557137489319,0.999972939491272,0.9999619573354721
swa,0.9999480843544006,0.9999393820762634,0.9999508857727051,0.9999759197235107,0.99995356798172
ewe,0.9999538064002991,0.9999248385429382,0.9999462366104126,0.9999724626541138,0.9999493360519409
bbj,0.9999265670776367,0.9998923540115356,0.9999279379844666,0.9999673366546631,0.9999285489320755
fon,0.99995356798172,0.9998663067817688,0.9999570250511169,0.9999369978904724,0.9999284744262695
yor,0.9999351501464844,0.9998870491981506,0.9999262094497681,0.999947190284729,0.999923899769783
pcm,0.9999083280563354,0.9998980760574341,0.9999180436134338,0.999950110912323,0.9999186396598816
